,description,displaySymbol,symbol,source,Group,Asset
1,FXCM Bund,Bund,FXCM:Bund,fxcm,Bonds_indices,
2,Bund,DE10YB/EUR,OANDA:DE10YB_EUR,oanda,Bonds_indices,
3,UK 10Y Gilt,UK10YB/GBP,OANDA:UK10YB_GBP,oanda,Bonds_indices,
4,US 2Y T-Note,USB02Y/USD,OANDA:USB02Y_USD,oanda,Bonds_indices,
5,US 5Y T-Note,USB05Y/USD,OANDA:USB05Y_USD,oanda,Bonds_indices,
6,US 10Y T-Note,USB10Y/USD,OANDA:USB10Y_USD,oanda,Bonds_indices,
7,US T-Bond,USB30Y/USD,OANDA:USB30Y_USD,oanda,Bonds_indices,
8,PEPPERSTONE Cocoa Cash Contract Cocoa,Cocoa/USD,PEPPERSTONE:10023,pepperstone,Commodity,
9,PEPPERSTONE Coffee Cash Contract Coffee,Coffee/USD,PEPPERSTONE:10021,pepperstone,Commodity,
10,Corn,CORN/USD,OANDA:CORN_USD,oanda,Commodity,
11,FXCM CORNF,CORNF,FXCM:CORNF,fxcm,Commodity,
12,PEPPERSTONE Cotton Cash Contract Cotton,Cotton/USD,PEPPERSTONE:10022,pepperstone,Commodity,
13,PEPPERSTONE Orange Juice Cash Contract OrangeJuice,Orange Juice/USD,PEPPERSTONE:10024,pepperstone,Commodity,
14,Soybeans,SOYBN/USD,OANDA:SOYBN_USD,oanda,Commodity,
15,FXCM SOYF,SOYF,FXCM:SOYF,fxcm,Commodity,
16,PEPPERSTONE Sugar Cash Contract Sugar,Sugar/USD,PEPPERSTONE:10020,pepperstone,Commodity,
17,Sugar,SUGAR/USD,OANDA:SUGAR_USD,oanda,Commodity,
18,Wheat,WHEAT/USD,OANDA:WHEAT_USD,oanda,Commodity,
19,FXCM WHEATF,WHEATF,FXCM:WHEATF,fxcm,Commodity,
20,FXCM BCH/USD,BCH/USD,FXCM:BCH/USD,fxcm,Crypto,
21,ICMTRADER Bitcoin cash BCHUSD,BCH/USD,ICMTRADER:110,icmtrader,Crypto,
22,IC MARKETS Bitcoin Cash US Dollar BCHUSD,BCH/USD,IC MARKETS:10028,ic markets,Crypto,
23,PEPPERSTONE Bitcoin vs US Dollar Bitcoin,Bitcoin/USD,PEPPERSTONE:10028,pepperstone,Crypto,
24,FXCM BTC/USD,BTC/USD,FXCM:BTC/USD,fxcm,Crypto,
25,ICMTRADER Bitcoin BTCUSD,BTC/USD,ICMTRADER:108,icmtrader,Crypto,
26,IC MARKETS Bitcoin BTCUSD,BTC/USD,IC MARKETS:10026,ic markets,Crypto,
27,PEPPERSTONE Dash vs US Dollar Dash,Dash/USD,PEPPERSTONE:10031,pepperstone,Crypto,
28,IC MARKETS Dashcoin US Dollar DSHUSD,DSH/USD,IC MARKETS:10027,ic markets,Crypto,
29,FXCM ETH/USD,ETH/USD,FXCM:ETH/USD,fxcm,Crypto,
30,ICMTRADER Etherium ETHUSD,ETH/USD,ICMTRADER:112,icmtrader,Crypto,
31,IC MARKETS Etherimum US Dollar ETHUSD,ETH/USD,IC MARKETS:10029,ic markets,Crypto,
32,PEPPERSTONE Ethereum vs US Dollar Ethereum,Ethereum/USD,PEPPERSTONE:10029,pepperstone,Crypto,
33,PEPPERSTONE Ripple vs US Dollar Ripple,Ripple/USD,PEPPERSTONE:10032,pepperstone,Crypto,
34,FXCM XRP/USD,XRP/USD,FXCM:XRP/USD,fxcm,Crypto,
35,AUD/CAD,AUD/CAD,OANDA:AUD_CAD,oanda,Curr,AUD/CAD
36,FXCM AUD/CAD,AUD/CAD,FXCM:AUD/CAD,fxcm,Curr,AUD/CAD
37,Forex.com AUD/CAD,AUD/CAD,FOREX:401484300,forex.com,Curr,AUD/CAD
38,FXPIG Australian Dollar vs Canadian Dollar AUDCAD.spa,AUD/CAD,FXPIG:18,fxpig,Curr,AUD/CAD
39,PEPPERSTONE Australian Dollar vs Canadian Dollar AUDCAD,AUD/CAD,PEPPERSTONE:18,pepperstone,Curr,AUD/CAD
40,ICMTRADER Australian Dollar vs Canadian Dollar AUDCAD,AUD/CAD,ICMTRADER:18,icmtrader,Curr,AUD/CAD
41,IC MARKETS Australian Dollar vs Canadian Dollar AUDCAD,AUD/CAD,IC MARKETS:18,ic markets,Curr,AUD/CAD
42,OCTAFX Australian Dollar vs Canadian Dollar AUDCAD,AUD/CAD,OCTAFX:18,octafx,Curr,AUD/CAD
43,AUD/CHF,AUD/CHF,OANDA:AUD_CHF,oanda,Curr,AUD/CHF
44,FXCM AUD/CHF,AUD/CHF,FXCM:AUD/CHF,fxcm,Curr,AUD/CHF
45,Forex.com AUD/CHF,AUD/CHF,FOREX:401484301,forex.com,Curr,AUD/CHF
46,PEPPERSTONE Australian Dollar vs Swiss Franc AUDCHF,AUD/CHF,PEPPERSTONE:23,pepperstone,Curr,AUD/CHF
47,ICMTRADER Australian Dollar vs Swiss Franc AUDCHF,AUD/CHF,ICMTRADER:23,icmtrader,Curr,AUD/CHF
48,IC MARKETS Australian Dollar vs Swiss Franc AUDCHF,AUD/CHF,IC MARKETS:23,ic markets,Curr,AUD/CHF
49,OCTAFX Australian Dollar vs Swiss Franc AUDCHF,AUD/CHF,OCTAFX:23,octafx,Curr,AUD/CHF
50,Forex.com AUD/CNH,AUD/CNH,FOREX:401484302,forex.com,Curr,AUD/CNH
51,FXPIG Australian Dollar vs Danish Krone AUDDKK.spa,AUD/DKK,FXPIG:38,fxpig,Curr,AUD/DKK
52,AUD/HKD,AUD/HKD,OANDA:AUD_HKD,oanda,Curr,AUD/HKD
53,AUD/JPY,AUD/JPY,OANDA:AUD_JPY,oanda,Curr,AUD/JPY
54,FXCM AUD/JPY,AUD/JPY,FXCM:AUD/JPY,fxcm,Curr,AUD/JPY
55,Forex.com AUD/JPY,AUD/JPY,FOREX:401484303,forex.com,Curr,AUD/JPY
56,FXPIG Australian Dollar vs Japanese Yen AUDJPY.spa,AUD/JPY,FXPIG:11,fxpig,Curr,AUD/JPY
57,PEPPERSTONE Australian Dollar vs Japanese Yen AUDJPY,AUD/JPY,PEPPERSTONE:11,pepperstone,Curr,AUD/JPY
58,ICMTRADER Australian Dollar vs Japanese Yen AUDJPY,AUD/JPY,ICMTRADER:11,icmtrader,Curr,AUD/JPY
59,IC MARKETS Australian Dollar vs Japanese Yen AUDJPY,AUD/JPY,IC MARKETS:11,ic markets,Curr,AUD/JPY
60,OCTAFX Australian Dollar vs Japanese Yen AUDJPY,AUD/JPY,OCTAFX:11,octafx,Curr,AUD/JPY
61,Forex.com AUD/NOK,AUD/NOK,FOREX:401484304,forex.com,Curr,AUD/NOK
62,AUD/NZD,AUD/NZD,OANDA:AUD_NZD,oanda,Curr,AUD/NZD
63,FXCM AUD/NZD,AUD/NZD,FXCM:AUD/NZD,fxcm,Curr,AUD/NZD
64,Forex.com AUD/NZD,AUD/NZD,FOREX:401484314,forex.com,Curr,AUD/NZD
65,FXPIG Australian vs New Zealand Dollar AUDNZD.spa,AUD/NZD,FXPIG:20,fxpig,Curr,AUD/NZD
66,PEPPERSTONE Australian vs New Zealand Dollar AUDNZD,AUD/NZD,PEPPERSTONE:20,pepperstone,Curr,AUD/NZD
67,ICMTRADER Australian vs New Zealand Dollar AUDNZD,AUD/NZD,ICMTRADER:20,icmtrader,Curr,AUD/NZD
68,IC MARKETS Australian vs New Zealand Dollar AUDNZD,AUD/NZD,IC MARKETS:20,ic markets,Curr,AUD/NZD
69,OCTAFX Australian vs New Zealand Dollar AUDNZD,AUD/NZD,OCTAFX:20,octafx,Curr,AUD/NZD
70,Forex.com AUD/PLN,AUD/PLN,FOREX:401484315,forex.com,Curr,AUD/PLN
71,FXPIG Australian vs Swedish Krona  AUDSEK.spa,AUD/SEK,FXPIG:63,fxpig,Curr,AUD/SEK
72,AUD/SGD,AUD/SGD,OANDA:AUD_SGD,oanda,Curr,AUD/SGD
73,Forex.com AUD/SGD,AUD/SGD,FOREX:401484316,forex.com,Curr,AUD/SGD
74,FXPIG Australian vs Singapore Dollar AUDSGD.spa,AUD/SGD,FXPIG:64,fxpig,Curr,AUD/SGD
75,PEPPERSTONE Australian Dollar vs Singapore Dollar AUDSGD,AUD/SGD,PEPPERSTONE:43,pepperstone,Curr,AUD/SGD
76,IC MARKETS Australian Dollar vs Singapore Dollar AUDSGD,AUD/SGD,IC MARKETS:1001,ic markets,Curr,AUD/SGD
77,AUD/USD,AUD/USD,OANDA:AUD_USD,oanda,Curr,AUD/USD
78,FXCM AUD/USD,AUD/USD,FXCM:AUD/USD,fxcm,Curr,AUD/USD
79,Forex.com AUD/USD,AUD/USD,FOREX:401484317,forex.com,Curr,AUD/USD
80,FXPIG Australian vs US Dollar AUDUSD.spa,AUD/USD,FXPIG:5,fxpig,Curr,AUD/USD
81,PEPPERSTONE Australian vs US Dollar AUDUSD,AUD/USD,PEPPERSTONE:5,pepperstone,Curr,AUD/USD
82,ICMTRADER Australian vs US Dollar AUDUSD,AUD/USD,ICMTRADER:5,icmtrader,Curr,AUD/USD
83,IC MARKETS Australian vs US Dollar AUDUSD,AUD/USD,IC MARKETS:5,ic markets,Curr,AUD/USD
84,OCTAFX Australian vs US Dollar AUDUSD,AUD/USD,OCTAFX:5,octafx,Curr,AUD/USD
85,FXPIG Australian vs South African Rand AUDZAR.spa,AUD/ZAR,FXPIG:65,fxpig,Curr,AUD/ZAR
86,FXPIG Australian Dollar vs. Japanese Yen AUDJPY.mpa,AUD101/JPY,FXPIG:101,fxpig,Curr,AUD/JPY
87,FXPIG Australian Dollar vs US Dollar AUDUSD.sfl,AUD172/USD,FXPIG:172,fxpig,Curr,AUD/USD
88,CAD/CHF,CAD/CHF,OANDA:CAD_CHF,oanda,Curr,CAD/CHF
89,FXCM CAD/CHF,CAD/CHF,FXCM:CAD/CHF,fxcm,Curr,CAD/CHF
90,Forex.com CAD/CHF,CAD/CHF,FOREX:401484320,forex.com,Curr,CAD/CHF
91,FXPIG Canadian Dollar vs Swiss Franc CADCHF.spa,CAD/CHF,FXPIG:27,fxpig,Curr,CAD/CHF
92,PEPPERSTONE Canadian Dollar vs Swiss Franc CADCHF,CAD/CHF,PEPPERSTONE:27,pepperstone,Curr,CAD/CHF
93,ICMTRADER Canadian Dollar vs Swiss Franc CADCHF,CAD/CHF,ICMTRADER:27,icmtrader,Curr,CAD/CHF
94,IC MARKETS Canadian Dollar vs Swiss Franc CADCHF,CAD/CHF,IC MARKETS:27,ic markets,Curr,CAD/CHF
95,OCTAFX Canadian Dollar vs Swiss Franc CADCHF,CAD/CHF,OCTAFX:27,octafx,Curr,CAD/CHF
96,FXPIG Canadian Dollar vs Danish Krone CADDKK.spa,CAD/DKK,FXPIG:66,fxpig,Curr,CAD/DKK
97,CAD/HKD,CAD/HKD,OANDA:CAD_HKD,oanda,Curr,CAD/HKD
98,FXPIG Canadian Dollar vs Hong Kong Dollar CADHKD.spa,CAD/HKD,FXPIG:67,fxpig,Curr,CAD/HKD
99,CAD/JPY,CAD/JPY,OANDA:CAD_JPY,oanda,Curr,CAD/JPY
100,FXCM CAD/JPY,CAD/JPY,FXCM:CAD/JPY,fxcm,Curr,CAD/JPY
101,Forex.com CAD/JPY,CAD/JPY,FOREX:401484321,forex.com,Curr,CAD/JPY
102,FXPIG Canadian Dollar vs Japanese Yen CADJPY.spa,CAD/JPY,FXPIG:15,fxpig,Curr,CAD/JPY
103,PEPPERSTONE Canadian Dollar vs Japanese Yen CADJPY,CAD/JPY,PEPPERSTONE:15,pepperstone,Curr,CAD/JPY
104,ICMTRADER Canadian Dollar vs Japanese Yen CADJPY,CAD/JPY,ICMTRADER:15,icmtrader,Curr,CAD/JPY
105,IC MARKETS Canadian Dollar vs Japanese Yen CADJPY,CAD/JPY,IC MARKETS:15,ic markets,Curr,CAD/JPY
106,OCTAFX Canadian Dollar vs Japanese Yen CADJPY,CAD/JPY,OCTAFX:15,octafx,Curr,CAD/JPY
107,FXPIG Canadian Dollar vs Mexican Peso CADMXN.spa,CAD/MXN,FXPIG:68,fxpig,Curr,CAD/MXN
108,Forex.com CAD/NOK,CAD/NOK,FOREX:401484322,forex.com,Curr,CAD/NOK
109,FXPIG Canadian Dollar vs  Norwegian Krone CADNOK.spa,CAD/NOK,FXPIG:69,fxpig,Curr,CAD/NOK
110,Forex.com CAD/PLN,CAD/PLN,FOREX:401484323,forex.com,Curr,CAD/PLN
111,FXPIG Canadian Dollar vs Swedish Krona CADSEK.spa,CAD/SEK,FXPIG:70,fxpig,Curr,CAD/SEK
112,CAD/SGD,CAD/SGD,OANDA:CAD_SGD,oanda,Curr,CAD/SGD
113,FXPIG Canadian Dollar vs Singapore Dollar CADSGD.spa,CAD/SGD,FXPIG:71,fxpig,Curr,CAD/SGD
114,CHF/HKD,CHF/HKD,OANDA:CHF_HKD,oanda,Curr,CHF/HKD
115,Forex.com CHF/HUF,CHF/HUF,FOREX:401484324,forex.com,Curr,CHF/HUF
116,CHF/JPY,CHF/JPY,OANDA:CHF_JPY,oanda,Curr,CHF/JPY
117,FXCM CHF/JPY,CHF/JPY,FXCM:CHF/JPY,fxcm,Curr,CHF/JPY
118,Forex.com CHF/JPY,CHF/JPY,FOREX:401484325,forex.com,Curr,CHF/JPY
119,FXPIG Swiss Franc vs Japanese Yen CHFJPY.spa,CHF/JPY,FXPIG:13,fxpig,Curr,CHF/JPY
120,PEPPERSTONE Swiss Franc vs Japanese Yen CHFJPY,CHF/JPY,PEPPERSTONE:13,pepperstone,Curr,CHF/JPY
121,ICMTRADER Swiss Franc vs Japanese Yen CHFJPY,CHF/JPY,ICMTRADER:13,icmtrader,Curr,CHF/JPY
122,IC MARKETS Swiss Franc vs Japanese Yen CHFJPY,CHF/JPY,IC MARKETS:13,ic markets,Curr,CHF/JPY
123,OCTAFX Swiss Franc vs Japanese Yen CHFJPY,CHF/JPY,OCTAFX:13,octafx,Curr,CHF/JPY
124,Forex.com CHF/NOK,CHF/NOK,FOREX:401484326,forex.com,Curr,CHF/NOK
125,FXPIG Swiss Franc vs Norwegian Krone CHFNOK.spa,CHF/NOK,FXPIG:72,fxpig,Curr,CHF/NOK
126,Forex.com CHF/PLN,CHF/PLN,FOREX:401484327,forex.com,Curr,CHF/PLN
127,FXPIG Swiss Franc vs Polish Zloty CHFPLN.spa,CHF/PLN,FXPIG:73,fxpig,Curr,CHF/PLN
128,FXPIG Swiss Franc vs Swedish Krona CHFSEK.spa,CHF/SEK,FXPIG:74,fxpig,Curr,CHF/SEK
129,FXPIG Swiss Franc vs Singapore Dollar CHFSGD.spa,CHF/SGD,FXPIG:75,fxpig,Curr,CHF/SGD
130,PEPPERSTONE Swiss Franc vs Singapore Dollar CHFSGD,CHF/SGD,PEPPERSTONE:44,pepperstone,Curr,CHF/SGD
131,IC MARKETS Swiss Franc vs Singapore Dollar CHFSGD,CHF/SGD,IC MARKETS:1002,ic markets,Curr,CHF/SGD
132,CHF/ZAR,CHF/ZAR,OANDA:CHF_ZAR,oanda,Curr,CHF/ZAR
133,FXPIG Swiss Franc vs South African rand CHFZAR.spa,CHF/ZAR,FXPIG:76,fxpig,Curr,CHF/ZAR
134,Forex.com CNH/JPY,CNH/JPY,FOREX:401484328,forex.com,Curr,CNH/JPY
135,FXPIG Danish Krone vs Norwegian Krone DKKNOK.spa,DKK/NOK,FXPIG:77,fxpig,Curr,DKK/NOK
136,FXPIG Danish Krone vs Swedish Krona DKKSEK.spa,DKK/SEK,FXPIG:78,fxpig,Curr,DKK/SEK
137,EUR/AUD,EUR/AUD,OANDA:EUR_AUD,oanda,Curr,EUR/AUD
138,FXCM EUR/AUD,EUR/AUD,FXCM:EUR/AUD,fxcm,Curr,EUR/AUD
139,Forex.com EUR/AUD,EUR/AUD,FOREX:401484329,forex.com,Curr,EUR/AUD
140,FXPIG Euro vs Australian Dollar EURAUD.spa,EUR/AUD,FXPIG:14,fxpig,Curr,EUR/AUD
141,PEPPERSTONE Euro vs Australian Dollar EURAUD,EUR/AUD,PEPPERSTONE:14,pepperstone,Curr,EUR/AUD
142,ICMTRADER Euro vs Australian Dollar EURAUD,EUR/AUD,ICMTRADER:14,icmtrader,Curr,EUR/AUD
143,IC MARKETS Euro vs Australian Dollar EURAUD,EUR/AUD,IC MARKETS:14,ic markets,Curr,EUR/AUD
144,OCTAFX Euro vs Australian Dollar EURAUD,EUR/AUD,OCTAFX:14,octafx,Curr,EUR/AUD
145,EUR/CAD,EUR/CAD,OANDA:EUR_CAD,oanda,Curr,EUR/CAD
146,FXCM EUR/CAD,EUR/CAD,FXCM:EUR/CAD,fxcm,Curr,EUR/CAD
147,Forex.com EUR/CAD,EUR/CAD,FOREX:401484330,forex.com,Curr,EUR/CAD
148,FXPIG Euro vs Canadian Dollar EURCAD.spa,EUR/CAD,FXPIG:17,fxpig,Curr,EUR/CAD
149,PEPPERSTONE Euro vs Canadian Dollar EURCAD,EUR/CAD,PEPPERSTONE:17,pepperstone,Curr,EUR/CAD
150,ICMTRADER Euro vs Canadian Dollar EURCAD,EUR/CAD,ICMTRADER:17,icmtrader,Curr,EUR/CAD
151,IC MARKETS Euro vs Canadian Dollar EURCAD,EUR/CAD,IC MARKETS:17,ic markets,Curr,EUR/CAD
152,OCTAFX Euro vs Canadian Dollar EURCAD,EUR/CAD,OCTAFX:17,octafx,Curr,EUR/CAD
153,EUR/CHF,EUR/CHF,OANDA:EUR_CHF,oanda,Curr,EUR/CHF
154,FXCM EUR/CHF,EUR/CHF,FXCM:EUR/CHF,fxcm,Curr,EUR/CHF
155,Forex.com EUR/CHF,EUR/CHF,FOREX:401484331,forex.com,Curr,EUR/CHF
156,FXPIG Euro vs Swiss Franc EURCHF.spa,EUR/CHF,FXPIG:10,fxpig,Curr,EUR/CHF
157,PEPPERSTONE Euro vs Swiss Franc EURCHF,EUR/CHF,PEPPERSTONE:10,pepperstone,Curr,EUR/CHF
158,ICMTRADER Euro vs Swiss Franc EURCHF,EUR/CHF,ICMTRADER:10,icmtrader,Curr,EUR/CHF
159,IC MARKETS Euro vs Swiss Franc EURCHF,EUR/CHF,IC MARKETS:10,ic markets,Curr,EUR/CHF
160,OCTAFX Euro vs Swiss Franc EURCHF,EUR/CHF,OCTAFX:10,octafx,Curr,EUR/CHF
161,Forex.com EUR/CNH,EUR/CNH,FOREX:401484332,forex.com,Curr,EUR/CNH
162,FXPIG Euro vs China Offshore Spot EURCNH.spa,EUR/CNH,FXPIG:79,fxpig,Curr,EUR/CNH
163,EUR/CZK,EUR/CZK,OANDA:EUR_CZK,oanda,Curr,EUR/CZK
164,Forex.com EUR/CZK,EUR/CZK,FOREX:401484333,forex.com,Curr,EUR/CZK
165,FXPIG Euro vs Czech Koruna EURCZK.spa,EUR/CZK,FXPIG:55,fxpig,Curr,EUR/CZK
166,PEPPERSTONE Euro vs Czech Koruna EURCZK,EUR/CZK,PEPPERSTONE:45,pepperstone,Curr,EUR/CZK
167,EUR/DKK,EUR/DKK,OANDA:EUR_DKK,oanda,Curr,EUR/DKK
168,Forex.com EUR/DKK,EUR/DKK,FOREX:401484334,forex.com,Curr,EUR/DKK
169,FXPIG Euro vs Danish Krone EURDKK.spa,EUR/DKK,FXPIG:57,fxpig,Curr,EUR/DKK
170,IC MARKETS Euro vs Danish Krone EURDKK,EUR/DKK,IC MARKETS:1003,ic markets,Curr,EUR/DKK
171,EUR/GBP,EUR/GBP,OANDA:EUR_GBP,oanda,Curr,EUR/GBP
172,FXCM EUR/GBP,EUR/GBP,FXCM:EUR/GBP,fxcm,Curr,EUR/GBP
173,Forex.com EUR/GBP,EUR/GBP,FOREX:401484335,forex.com,Curr,EUR/GBP
174,FXPIG Euro vs British Pound EURGBP.spa,EUR/GBP,FXPIG:9,fxpig,Curr,EUR/GBP
175,PEPPERSTONE Euro vs British Pound EURGBP,EUR/GBP,PEPPERSTONE:9,pepperstone,Curr,EUR/GBP
176,ICMTRADER Euro vs British Pound EURGBP,EUR/GBP,ICMTRADER:9,icmtrader,Curr,EUR/GBP
177,IC MARKETS Euro vs British Pound EURGBP,EUR/GBP,IC MARKETS:9,ic markets,Curr,EUR/GBP
178,OCTAFX Euro vs British Pound EURGBP,EUR/GBP,OCTAFX:9,octafx,Curr,EUR/GBP
179,EUR/HKD,EUR/HKD,OANDA:EUR_HKD,oanda,Curr,EUR/HKD
180,Forex.com EUR/HKD,EUR/HKD,FOREX:401484336,forex.com,Curr,EUR/HKD
181,FXPIG Euro vs Hong Kong dollar EURHKD.spa,EUR/HKD,FXPIG:45,fxpig,Curr,EUR/HKD
182,PEPPERSTONE Euro vs Hong Kong Dollar EURHKD,EUR/HKD,PEPPERSTONE:47,pepperstone,Curr,EUR/HKD
183,IC MARKETS Euro vs Hong Kong Dollar EURHKD,EUR/HKD,IC MARKETS:1004,ic markets,Curr,EUR/HKD
184,EUR/HUF,EUR/HUF,OANDA:EUR_HUF,oanda,Curr,EUR/HUF
185,Forex.com EUR/HUF,EUR/HUF,FOREX:401484337,forex.com,Curr,EUR/HUF
186,FXPIG Euro vs Hungarian Forint EURHUF.spa,EUR/HUF,FXPIG:34,fxpig,Curr,EUR/HUF
187,PEPPERSTONE Euro vs Hungarian Forint EURHUF,EUR/HUF,PEPPERSTONE:34,pepperstone,Curr,EUR/HUF
188,EUR/JPY,EUR/JPY,OANDA:EUR_JPY,oanda,Curr,EUR/JPY
189,FXCM EUR/JPY,EUR/JPY,FXCM:EUR/JPY,fxcm,Curr,EUR/JPY
190,Forex.com EUR/JPY,EUR/JPY,FOREX:401484338,forex.com,Curr,EUR/JPY
