,FinnHub_code,currency,name,Main
0,mutualFund,USD,US Mutual funds,""
1,indices,,World Indices,1
2,US,USD,US exchanges,1
3,AT,EUR,ATHENS EXCHANGE S.A. CASH MARKET,""
4,PA,EUR,NYSE EURONEXT - EURONEXT PARIS,1
5,PR,CZK,PRAGUE STOCK EXCHANGE,""
6,MI,EUR,MARKET FOR INVESTMENT VEHICULES,""
7,AS,EUR,NYSE EURONEXT - EURONEXT AMSTERDAM,""
8,IR,EUR,IRISH STOCK EXCHANGE - ALL MARKET,""
9,LS,EUR,NYSE EURONEXT - EURONEXT LISBON,""
10,ME,RUB,MOSCOW EXCHANGE,""
11,SA,BRL,Sao Paolo,""
12,SG,EUR,BOERSE STUTTGART,""
13,HM,EUR,HANSEATISCHE WERTPAPIERBOERSE HAMBURG,""
14,SR,SAR,SAUDI STOCK EXCHANGE,""
15,MC,EUR,BOLSA DE MADRID,""
16,IS,TRY,BORSA ISTANBUL,""
17,RG,EUR,NASDAQ OMX RIGA,""
18,CO,DKK,OMX NORDIC EXCHANGE COPENHAGEN A/S,""
19,BD,HUF,BUDAPEST STOCK EXCHANGE,""
20,T,JPY,TOKYO STOCK EXCHANGE-TOKYO PRO MARKET,1
21,CN,CAD,CANADIAN NATIONAL STOCK EXCHANGE,""
22,NS,INR,NATIONAL STOCK EXCHANGE OF INDIA,""
23,DE,EUR,XETRA,1
24,KL,MYR,BURSA MALAYSIA,""
25,CR,,CARACAS STOCK EXCHANGE,""
26,NE,CAD,AEQUITAS NEO EXCHANGE,""
27,MU,EUR,BOERSE MUENCHEN,""
28,AX,AUD,ASX - ALL MARKETS,""
29,SN,CLP,SANTIAGO STOCK EXCHANGE,""
30,F,EUR,DEUTSCHE BOERSE AG,1
31,L,GBP,LONDON STOCK EXCHANGE,1
32,OL,NOK,OSLO BORS ASA,""
33,JO,ZAc,JOHANNESBURG STOCK EXCHANGE,""
34,QA,QAR,QATAR EXCHANGE,""
35,TA,ILa,TEL AVIV STOCK EXCHANGE,""
36,VS,EUR,NASDAQ OMX VILNIUS,""
37,BE,EUR,BOERSE BERLIN,""
38,DB,AED,DUBAI FINANCIAL MARKET,""
39,TL,EUR,NASDAQ OMX TALLINN,""
40,PA,EUR,NYSE EURONEXT - MARCHE LIBRE PARIS,1
41,SW,USD,SWISS EXCHANGE,1
42,VI,EUR,WIENER BOERSE AG DRITTER MARKT (THIRD MARKET),""
43,KQ,KRW,KOREA EXCHANGE (KOSDAQ),""
44,V,CAD,TSX VENTURE EXCHANGE - NEX,""
45,WA,PLN,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,""
46,BC,COP,BOLSA DE VALORES DE COLOMBIA,""
47,TW,TWD,TAIWAN STOCK EXCHANGE,""
48,HE,EUR,NASDAQ OMX HELSINKI LTD.,""
49,BA,ARS,BOLSA DE COMERCIO DE BUENOS AIRES,""
50,ST,SEK,NASDAQ OMX NORDIC,""
51,SS,CNY,SHANGHAI STOCK EXCHANGE,""
52,TO,CAD,TORONTO STOCK EXCHANGE,1
53,DU,EUR,BOERSE DUESSELDORF,""
54,HK,HKD,HONG KONG EXCHANGES AND CLEARING LTD,""
55,BO,INR,BSE LTD,""
56,SZ,CNY,SHENZHEN STOCK EXCHANGE,1
57,NZ,NZD,NEW ZEALAND EXCHANGE LTD,""
58,BK,THB,STOCK EXCHANGE OF THAILAND,""
59,SI,USD,SINGAPORE EXCHANGE,""
60,BR,EUR,NYSE EURONEXT - EURONEXT BRUSSELS,""
61,KS,KRW,KOREA EXCHANGE (STOCK MARKET),""
62,JK,IDR,INDONESIA STOCK EXCHANGE,""
63,IC,ISK,NASDAQ OMX ICELAND,""
64,MX,MXN,BOLSA MEXICANA DE VALORES (MEXICAN STOCK EXCHANGE),""
65,VN,VND,"Vietnam exchanges including HOSE, HNX and UPCOM",""