Bolagsnamn;Land;Lista;Sektor;Bransch;Ticker
AarhusKarlshamn;Sverige;Large Cap;Dagligvaror;Livsmedel;AAK
ABB;Sverige;Large Cap;Industri;Industrimaskiner;ABB
Acando;Sverige;Mid Cap;Informationsteknik;IT-Konsulter;ACAN B
Active Biotech;Sverige;Small Cap;Hälsovård;Biotech;ACTI
Addnode;Sverige;Mid Cap;Informationsteknik;IT-Konsulter;ANOD B
Addtech;Sverige;Large Cap;Industri;Industrikomponenter;ADDT B
Alfa Laval;Sverige;Large Cap;Industri;Industrikomponenter;ALFA
A3 Allmänna IT- och Telekom;Sverige;Small Cap;Telekommunikation;Bredband & Telefoni;ATRE
Anoto;Sverige;Small Cap;Informationsteknik;Elektronisk Utrustning;ANOT
Arise Windpower;Sverige;Small Cap;Kraftförsörjning;Vindkraft;ARISE
Assa Abloy;Sverige;Large Cap;Industri;Byggmaterial;ASSA B
AstraZeneca;Sverige;Large Cap;Hälsovård;Läkemedel;AZN
Atlas Copco A;Sverige;Large Cap;Industri;Industrimaskiner;ATCO A
Atrium Ljungberg;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;ATRLJ B
Autoliv;Sverige;Large Cap;Sällanköpsvaror;Bil & Motor;ALIV SDB
Avanza;Sverige;Large Cap;Finans & Fastighet;Nischbanker;AZA
Axfood;Sverige;Large Cap;Dagligvaror;Livsmedelsbutiker;AXFO
Bergman & Beving;Sverige;Mid Cap;Industri;Industrikomponenter;BERG B
BE Group;Sverige;Small Cap;Industri;Industrikomponenter;BEGR
Beijer Ref;Sverige;Large Cap;Industri;Installation & VVS;BEIJ B
Beijer Alma;Sverige;Mid Cap;Industri;Industrikomponenter;BEIA B
Beijer Electronics;Sverige;Small Cap;Informationsteknik;Datorer & Hårdvara;BELE
Bergs Timber;Sverige;Small Cap;Material;Skogsbolag;BRG B
Betsson;Sverige;Large Cap;Sällanköpsvaror;Betting & Casino;BETS B
Bilia;Sverige;Mid Cap;Sällanköpsvaror;Bil & Motor;BILI A
BillerudKorsnäs;Sverige;Large Cap;Material;Skogsbolag;BILL
BioGaia;Sverige;Mid Cap;Dagligvaror;Hälsoprodukter;BIOG B
Bioinvent;Sverige;Small Cap;Hälsovård;Biotech;BINV
Biotage;Sverige;Mid Cap;Hälsovård;Medicinsk Utrustning;BIOT
Björn Borg;Sverige;Small Cap;Sällanköpsvaror;Kläder & Skor;BORG
Boliden;Sverige;Large Cap;Material;Gruv - Industrimetaller;BOL
Bong Ljungdahl;Sverige;Small Cap;Material;Förpackning;BONG
Brinova;Sverige;Small Cap;Finans & Fastighet;Fastighetsbolag;BRIN B
BTS Group;Sverige;Mid Cap;Industri;Affärskonsulter;BTS B
Bure Equity;Sverige;Mid Cap;Finans & Fastighet;Investmentbolag;BURE
Byggmax;Sverige;Mid Cap;Sällanköpsvaror;Detaljhandel;BMAX
Castellum;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;CAST
Catena;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;CATE
Qliro Group;Sverige;Mid Cap;Informationsteknik;Betalning & E-handel;QLRO
CellaVision;Sverige;Mid Cap;Hälsovård;Medicinsk Utrustning;CEVI
Clas Ohlson;Sverige;Mid Cap;Sällanköpsvaror;Detaljhandel;CLAS B
Cloetta;Sverige;Mid Cap;Dagligvaror;Livsmedel;CLA B
Concordia Maritime;Sverige;Small Cap;Energi;Olja & Gas - Transport;CCOR B
Consilium;Sverige;Small Cap;Informationsteknik;Säkerhet & Bevakning;CONS B
Corem A;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;CORE A
CTT Systems;Sverige;Small Cap;Industri;Installation & VVS;CTT
Diamyd Medical;Sverige;First North;Hälsovård;Biotech;DMYD B
Diös;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;DIOS
Doro;Sverige;Small Cap;Sällanköpsvaror;Hemelektronik;DORO
Duni;Sverige;Mid Cap;Dagligvaror;Hygienprodukter;DUNI
Duroc;Sverige;Small Cap;Industri;Industrikomponenter;DURC B
Eastnine;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;EAST
Elanders;Sverige;Mid Cap;Sällanköpsvaror;Media & Publicering;ELAN B
Electra Gruppen;Sverige;Small Cap;Sällanköpsvaror;Hemelektronik;ELEC
Electrolux B;Sverige;Large Cap;Sällanköpsvaror;Hemelektronik;ELUX B
Elekta;Sverige;Large Cap;Hälsovård;Medicinsk Utrustning;EKTA B
Elos;Sverige;Small Cap;Hälsovård;Medicinsk Utrustning;ELOS B
Enea;Sverige;Mid Cap;Informationsteknik;IT-Konsulter;ENEA
Eniro;Sverige;Small Cap;Sällanköpsvaror;Marknadsföring;ENRO
EnQuest;Sverige;Mid Cap;Energi;Olja & Gas - Exploatering;ENQ
Ericsson B;Sverige;Large Cap;Informationsteknik;Kommunikation;ERIC B
Etrion;Sverige;Small Cap;Kraftförsörjning;Solkraft;ETX
eWork;Sverige;Small Cap;Informationsteknik;IT-Konsulter;EWRK
Fabege;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;FABG
Fagerhult;Sverige;Mid Cap;Industri;Bygginredning;FAG
Fast Partner;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;FPAR
Fast Balder;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;BALD B
Feelgood;Sverige;Small Cap;Hälsovård;Hälsovård & Hjälpmedel;FEEL
Fenix Outdoor;Sverige;Large Cap;Sällanköpsvaror;Kläder & Skor;FOI B
Fingerprint Cards;Sverige;Mid Cap;Informationsteknik;Biometri;FING B
Formpipe Software;Sverige;Small Cap;Informationsteknik;Affärs- & IT-System;FPIP
Getinge;Sverige;Large Cap;Hälsovård;Hälsovård & Hjälpmedel;GETI B
GHP Specialty Care;Sverige;Small Cap;Hälsovård;Sjukhus & Vårdhem;GHP
Gunnebo;Sverige;Mid Cap;Industri;Säkerhet;GUNN
ICA Gruppen;Sverige;Large Cap;Dagligvaror;Livsmedelsbutiker;ICA
Haldex;Sverige;Mid Cap;Industri;Industrikomponenter;HLDX
Havsfrun Investment;Sverige;Small Cap;Finans & Fastighet;Investmentbolag;HAV B
Heba;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;HEBA B
Hennes & Mauritz;Sverige;Large Cap;Sällanköpsvaror;Kläder & Skor;HM B
Hexagon;Sverige;Large Cap;Industri;Mätning & Analys;HEXA B
Hexpol;Sverige;Large Cap;Material;Kemikalier;HPOL B
HiQ;Sverige;Mid Cap;Informationsteknik;IT-Konsulter;HIQ
HMS Networks;Sverige;Mid Cap;Informationsteknik;Kommunikation;HMS
Holmen B;Sverige;Large Cap;Material;Skogsbolag;HOLM B
Hufvudstaden A;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;HUFV A
Husqvarna B;Sverige;Large Cap;Sällanköpsvaror;Hemelektronik;HUSQ B
I.A.R Systems;Sverige;Mid Cap;Informationsteknik;Affärs- & IT-System;IAR B
Image Systems;Sverige;Small Cap;Informationsteknik;Affärs- & IT-System;IS
Industrivärden C;Sverige;Large Cap;Finans & Fastighet;Investmentbolag;INDU C
Indutrade;Sverige;Large Cap;Industri;Industrikomponenter;INDT
ICTA;Sverige;Small Cap;Industri;Affärskonsulter;ICTA
Intrum;Sverige;Large Cap;Finans & Fastighet;Kredit & Finansiering;INTRUM
Investor B;Sverige;Large Cap;Finans & Fastighet;Investmentbolag;INVE B
ITAB Shop Concept;Sverige;Mid Cap;Industri;Bygginredning;ITAB B
JM;Sverige;Large Cap;Industri;Bostadsbyggnation;JM
Kabe;Sverige;Mid Cap;Sällanköpsvaror;Bil & Motor;KABE B
KappAhl;Sverige;Mid Cap;Sällanköpsvaror;Kläder & Skor;KAHL
Karo Pharma;Sverige;Mid Cap;Hälsovård;Biotech;KARO
Kinnevik B;Sverige;Large Cap;Finans & Fastighet;Investmentbolag;KINV B
Klövern A;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;KLOV A
KnowIT;Sverige;Mid Cap;Informationsteknik;IT-Konsulter;KNOW
Kungsleden;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;KLED
Lagercrantz;Sverige;Mid Cap;Industri;Elektroniska komponenter;LAGR B
Lammhults Design;Sverige;Small Cap;Industri;Bygginredning;LAMM B
Latour;Sverige;Large Cap;Finans & Fastighet;Investmentbolag;LATO B
Lindab;Sverige;Mid Cap;Industri;Installation & VVS;LIAB
Loomis;Sverige;Large Cap;Industri;Säkerhet;LOOM B
Lundbergföretagen;Sverige;Large Cap;Finans & Fastighet;Investmentbolag;LUND B
Lundin Mining;Sverige;Large Cap;Material;Gruv - Prospekt & Drift;LUMI
Lundin Petroleum;Sverige;Large Cap;Energi;Olja & Gas - Exploatering;LUPE
Malmbergs Elektriska;Sverige;Small Cap;Industri;Elektroniska komponenter;MEAB B
Medivir;Sverige;Small Cap;Hälsovård;Biotech;MVIR B
Mekonomen;Sverige;Mid Cap;Sällanköpsvaror;Bil & Motor;MEKO
Mycronic;Sverige;Mid Cap;Informationsteknik;Elektronik & Tillverkning;MYCR
Midsona B;Sverige;Mid Cap;Dagligvaror;Hälsoprodukter;MSON B
Midway B;Sverige;Small Cap;Finans & Fastighet;Investmentbolag;MIDW B
Millicom;Sverige;Large Cap;Telekommunikation;Bredband & Telefoni;MIC SDB
Stockwik;Sverige;Small Cap;Finans & Fastighet;Investmentbolag;STWK
Amasten;Sverige;First North;Finans & Fastighet;Fastighetsbolag;AMAST
MQ;Sverige;Small Cap;Sällanköpsvaror;Kläder & Skor;MQ
Empir Group;Sverige;Small Cap;Informationsteknik;IT-Konsulter;EMPIR B
MTG B;Sverige;Large Cap;Sällanköpsvaror;Media & Publicering;MTG B
MultiQ;Sverige;Small Cap;Informationsteknik;Datorer & Hårdvara;MULQ
NAXS Nordic Access;Sverige;Small Cap;Finans & Fastighet;Investmentbolag;NAXS
NCC B;Sverige;Large Cap;Industri;Byggnation & Infrastruktur;NCC B
Nederman;Sverige;Mid Cap;Industri;Installation & VVS;NMAN
NetEnt;Sverige;Large Cap;Sällanköpsvaror;Betting & Casino;NET B
Net Insight;Sverige;Mid Cap;Informationsteknik;Kommunikation;NETI B
New Wave;Sverige;Mid Cap;Sällanköpsvaror;Kläder & Skor;NEWA B
NIBE;Sverige;Large Cap;Industri;Installation & VVS;NIBE B
Nobia;Sverige;Large Cap;Sällanköpsvaror;Möbler & Inredning;NOBI
Nolato;Sverige;Large Cap;Material;Kemikalier;NOLA B
Nordea Bank;Sverige;Large Cap;Finans & Fastighet;Banker;NDA SE
NOTE;Sverige;Small Cap;Informationsteknik;Elektronik & Tillverkning;NOTE
Strax;Sverige;Small Cap;Sällanköpsvaror;Fritid & Sport;STRAX
Novotek;Sverige;Small Cap;Informationsteknik;Affärs- & IT-System;NTEK B
Oasmia Pharmaceutical;Sverige;Mid Cap;Hälsovård;Läkemedel;OASM
Odd Molly;Sverige;Small Cap;Sällanköpsvaror;Kläder & Skor;ODD
OEM;Sverige;Mid Cap;Industri;Industrikomponenter;OEM B
Trention;Sverige;Small Cap;Finans & Fastighet;Investmentbolag;TRENT
Orexo;Sverige;Mid Cap;Hälsovård;Läkemedel;ORX
Oriflame;Sverige;Large Cap;Dagligvaror;Hygienprodukter;ORI
Ortivus B;Sverige;Small Cap;Hälsovård;Hälsovård & Hjälpmedel;ORTI B
Peab;Sverige;Large Cap;Industri;Byggnation & Infrastruktur;PEAB B
Poolia;Sverige;Small Cap;Industri;Bemanning;POOL B
Precise Biometrics;Sverige;Small Cap;Informationsteknik;Biometri;PREC
Prevas;Sverige;Small Cap;Informationsteknik;IT-Konsulter;PREV B
Pricer;Sverige;Small Cap;Informationsteknik;Elektronisk Utrustning;PRIC B
ProAct IT;Sverige;Mid Cap;Informationsteknik;IT-Konsulter;PACT
Probi;Sverige;Mid Cap;Dagligvaror;Livsmedel;PROB
ProfilGruppen;Sverige;Small Cap;Industri;Industrikomponenter;PROF B
Ratos B;Sverige;Large Cap;Finans & Fastighet;Investmentbolag;RATO B
RaySearch Laboratories;Sverige;Mid Cap;Hälsovård;Medicinsk Utrustning;RAY B
Rejlerkoncernen;Sverige;Small Cap;Industri;Affärskonsulter;REJL B
RNB Retail and Brands;Sverige;Small Cap;Sällanköpsvaror;Kläder & Skor;RNBS
Radisson Hospitality;Sverige;Mid Cap;Sällanköpsvaror;Hotell & Camping;RADH
Rottneros;Sverige;Small Cap;Material;Skogsbolag;RROS
Saab;Sverige;Large Cap;Industri;Militär & Försvar;SAAB B
Sagax A;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;SAGA A
Sandvik;Sverige;Large Cap;Industri;Industrimaskiner;SAND
SAS;Sverige;Mid Cap;Industri;Flygtransport;SAS
SCA B;Sverige;Large Cap;Material;Skogsbolag;SCA B
SEB A;Sverige;Large Cap;Finans & Fastighet;Banker;SEB A
Sectra;Sverige;Mid Cap;Hälsovård;Medicinsk Utrustning;SECT B
Securitas;Sverige;Large Cap;Industri;Säkerhet;SECU B
Semcon;Sverige;Small Cap;Industri;Affärskonsulter;SEMC
Sensys Gatso;Sverige;Small Cap;Informationsteknik;Säkerhet & Bevakning;SENS
Handelsbanken A;Sverige;Large Cap;Finans & Fastighet;Banker;SHB A
SinterCast;Sverige;Small Cap;Industri;Industrikomponenter;SINT
Skanska;Sverige;Large Cap;Industri;Byggnation & Infrastruktur;SKA B
SKF B;Sverige;Large Cap;Industri;Industrikomponenter;SKF B
SkiStar;Sverige;Mid Cap;Sällanköpsvaror;Resor & Nöjen;SKIS B
Softronic;Sverige;Small Cap;Informationsteknik;IT-Konsulter;SOF B
SSAB A;Sverige;Large Cap;Material;Gruv - Industrimetaller;SSAB A
Stora Enso R;Sverige;Large Cap;Material;Skogsbolag;STE R
Studsvik;Sverige;Small Cap;Industri;Energi & Återvinning;SVIK
Svedbergs;Sverige;Small Cap;Sällanköpsvaror;Möbler & Inredning;SVED B
Svolder B;Sverige;Mid Cap;Finans & Fastighet;Investmentbolag;SVOL B
Sweco B;Sverige;Large Cap;Industri;Affärskonsulter;SWEC B
Swedbank;Sverige;Large Cap;Finans & Fastighet;Banker;SWED A
Swedish Match;Sverige;Large Cap;Dagligvaror;Tobak;SWMA
Swedish Orphan Biovitrum;Sverige;Large Cap;Hälsovård;Läkemedel;SOBI
Swedol;Sverige;Mid Cap;Sällanköpsvaror;Detaljhandel;SWOL B
Systemair;Sverige;Mid Cap;Industri;Installation & VVS;SYSR
Tele2 B;Sverige;Large Cap;Telekommunikation;Bredband & Telefoni;TEL2 B
Telia Company;Sverige;Large Cap;Telekommunikation;Bredband & Telefoni;TELIA
Tieto;Sverige;Large Cap;Informationsteknik;IT-Konsulter;TIETOS
Traction;Sverige;Mid Cap;Finans & Fastighet;Investmentbolag;TRAC B
TradeDoubler;Sverige;Small Cap;Sällanköpsvaror;Marknadsföring;TRAD
Viking Supply;Sverige;Small Cap;Industri;Sjöfart & Rederi;VSSAB B
Trelleborg;Sverige;Large Cap;Material;Kemikalier;TREL B
Agromino;Sverige;Small Cap;Dagligvaror;Jordbruk;AGRO
Kindred Group;Sverige;Large Cap;Sällanköpsvaror;Betting & Casino;KIND SDB
VBG;Sverige;Mid Cap;Industri;Industrikomponenter;VBG B
Venue Retail Group;Sverige;Small Cap;Sällanköpsvaror;Accessoarer;VRG B
Vitrolife;Sverige;Large Cap;Hälsovård;Medicinsk Utrustning;VITR
Volvo B;Sverige;Large Cap;Industri;Industrimaskiner;VOLV B
Vostok New Ventures;Sverige;Mid Cap;Finans & Fastighet;Investmentbolag;VNV SDB
Wallenstam;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;WALL B
Wihlborgs;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;WIHL
XANO Industri;Sverige;Mid Cap;Industri;Industrikomponenter;XANO B
ÅF;Sverige;Large Cap;Industri;Affärskonsulter;AF B
Öresund;Sverige;Mid Cap;Finans & Fastighet;Investmentbolag;ORES
Karolinska Development;Sverige;Small Cap;Finans & Fastighet;Investmentbolag;KDEV
Boule Diagnostics;Sverige;Small Cap;Hälsovård;Medicinsk Utrustning;BOUL
Dedicare;Sverige;Small Cap;Industri;Bemanning;DEDI
Moberg Pharma;Sverige;Small Cap;Hälsovård;Läkemedel;MOB
Concentric;Sverige;Mid Cap;Industri;Industrikomponenter;COIC
Cavotec;Sverige;Mid Cap;Industri;Industrimaskiner;CCC
Nokia;Sverige;Large Cap;Informationsteknik;Kommunikation;NOKIA SEK
Micro Systemation;Sverige;Small Cap;Informationsteknik;Elektronisk Utrustning;MSAB B
Vitec Software;Sverige;Mid Cap;Informationsteknik;Affärs- & IT-System;VIT B
Semafo;Sverige;Mid Cap;Material;Gruv - Guld & Silver;SMF
Bulten;Sverige;Mid Cap;Industri;Industrikomponenter;BULTEN
Moment Group;Sverige;Small Cap;Sällanköpsvaror;Resor & Nöjen;MOMENT
ADDvise Group A;Sverige;First North;Hälsovård;Hälsovård & Hjälpmedel;ADDV A
Africa Oil;Sverige;Mid Cap;Energi;Olja & Gas - Exploatering;AOI
Arctic Minerals;Sverige;First North;Material;Gruv - Guld & Silver;ARCT
Avensia;Sverige;First North;Informationsteknik;Betalning & E-handel;AVEN
Avtech;Sverige;First North;Informationsteknik;Affärs- & IT-System;AVT B
Bredband2;Sverige;First North;Telekommunikation;Bredband & Telefoni;BRE2
C-RAD;Sverige;Small Cap;Hälsovård;Medicinsk Utrustning;CRAD B
Catella B;Sverige;Mid Cap;Finans & Fastighet;Kapitalförvaltning;CAT B
Auriant Mining;Sverige;First North;Material;Gruv - Guld & Silver;AUR
Confidence;Sverige;First North;Industri;Säkerhet;CONF
Creades;Sverige;Mid Cap;Finans & Fastighet;Investmentbolag;CRED A
DistIT;Sverige;First North;Informationsteknik;Datorer & Hårdvara;DIST
Diadrom;Sverige;First North;Informationsteknik;IT-Konsulter;DIAH
Dignitana;Sverige;First North;Hälsovård;Medicinsk Utrustning;DIGN
Drillcon;Sverige;First North;Material;Gruv - Service;DRIL
Ellen;Sverige;First North;Hälsovård;Biotech;ELN
Kakel Max;Sverige;First North;Industri;Byggmaterial;KAKEL
Endomines;Sverige;Small Cap;Material;Gruv - Guld & Silver;ENDO
Eolus Vind;Sverige;Small Cap;Kraftförsörjning;Vindkraft;EOLU B
EOS Russia;Sverige;First North;Kraftförsörjning;Elförsörjning;EOS
Episurf;Sverige;Small Cap;Hälsovård;Medicinsk Utrustning;EPIS B
Firefly;Sverige;First North;Informationsteknik;Affärs- & IT-System;FIRE
Wifog;Sverige;First North;Telekommunikation;Bredband & Telefoni;WIFOG
Generic Sweden;Sverige;First North;Informationsteknik;Säkerhet & Bevakning;GENI
Genovis;Sverige;First North;Hälsovård;Biotech;GENO
Binero Group;Sverige;First North;Informationsteknik;Affärs- & IT-System;BINERO
Götenehus Group;Sverige;First North;Industri;Bostadsbyggnation;GHUS B
Hansa Biopharma;Sverige;Mid Cap;Hälsovård;Biotech;HNSA
Stendörren;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;STEF B
Hifab;Sverige;First North;Industri;Affärskonsulter;HIFA B
Impact Coatings;Sverige;First North;Industri;Industrimaskiner;IMPC
Invisio Communications;Sverige;Mid Cap;Informationsteknik;Kommunikation;IVSO
Jays;Sverige;First North;Informationsteknik;Elektronisk Utrustning;JAYS
JLT Mobile Computers;Sverige;First North;Informationsteknik;Datorer & Hårdvara;JLT
Kancera;Sverige;First North;Hälsovård;Biotech;KAN
Copperstone;Sverige;First North;Material;Gruv - Prospekt & Drift;COPP B
Kopy Goldfields;Sverige;First North;Material;Gruv - Guld & Silver;KOPY
Lightlab;Sverige;First North;Industri;Elektroniska komponenter;LLSW B
Lucara Diamond;Sverige;Mid Cap;Material;Gruv - Ädelstenar;LUC
Mackmyra;Sverige;First North;Dagligvaror;Bryggeri;MACK B
MedCap;Sverige;Small Cap;Finans & Fastighet;Investmentbolag;MCAP
Modern Ekonomi;Sverige;First North;Industri;Affärskonsulter;ME
Misen Energy;Sverige;First North;Energi;Olja & Gas - Exploatering;MISE
NetJobs;Sverige;First North;Industri;Bemanning;NJOB
New Nordic Healthbrands;Sverige;First North;Dagligvaror;Hälsoprodukter;NNH
Nischer;Sverige;NGM;Finans & Fastighet;Fastighetsbolag;NIS MTF
Online Brands Nordic;Sverige;First North;Sällanköpsvaror;Accessoarer;OBAB
OPUS Prodox;Sverige;Mid Cap;Sällanköpsvaror;Bil & Motor;OPUS
Pallas;Sverige;First North;Industri;Sjöfart & Rederi;PALS B
Sensori;Sverige;NGM;Hälsovård;Medicinsk Utrustning;SORI MTF
Saxlund;Sverige;First North;Industri;Energi & Återvinning;SAXG
PledPharma;Sverige;First North;Hälsovård;Biotech;PLED
Precio Fishbone;Sverige;First North;Informationsteknik;IT-Konsulter;PRCO B
Precomp Solutions;Sverige;First North;Industri;Industrikomponenter;PCOM B
ENLABS;Sverige;First North;Sällanköpsvaror;Betting & Casino;NLAB
ScandBook;Sverige;First North;Sällanköpsvaror;Media & Publicering;SBOK
ShaMaran;Sverige;First North;Energi;Olja & Gas - Exploatering;SNM
SJR;Sverige;First North;Industri;Bemanning;SJR B
Skåne-möllan;Sverige;First North;Dagligvaror;Livsmedel;SKMO
Skånska Energi;Sverige;First North;Kraftförsörjning;Elförsörjning;SEAB B
Allgon;Sverige;First North;Informationsteknik;Kommunikation;ALLG B
Stille;Sverige;First North;Hälsovård;Medicinsk Utrustning;STIL
TagMaster;Sverige;First North;Informationsteknik;Kommunikation;TAGM B
Tethys Oil;Sverige;Mid Cap;Energi;Olja & Gas - Exploatering;TETY
Unlimited Travel Group;Sverige;First North;Sällanköpsvaror;Resor & Nöjen;UTG
Victoria Park A;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;VICP A
Nordic Flanges;Sverige;First North;Industri;Industrikomponenter;NFGAB
WeSC;Sverige;First North;Sällanköpsvaror;Kläder & Skor;WESC
Westpay;Sverige;First North;Industri;Säkerhet;WPAY
Wise Group;Sverige;Small Cap;Industri;Bemanning;WISE
ZetaDisplay;Sverige;Small Cap;Sällanköpsvaror;Marknadsföring;ZETA
ALM Equtiy;Sverige;First North;Finans & Fastighet;Fastighetsbolag;ALM
Mangold;Sverige;First North;Finans & Fastighet;Kapitalförvaltning;MANG
Platzer;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;PLAZ B
aXichem;Sverige;First North;Material;Kemikalier;AXIC A
Sportamore;Sverige;Small Cap;Sällanköpsvaror;Detaljhandel;SPOR
Nexam;Sverige;First North;Material;Kemikalier;NEXAM
Xvivo Perfusion;Sverige;Mid Cap;Hälsovård;Medicinsk Utrustning;XVIVO
Hemfosa;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;HEMF
Bufab;Sverige;Mid Cap;Industri;Industrikomponenter;BUFAB
Bactiguard;Sverige;Small Cap;Hälsovård;Medicinsk Utrustning;BACTI B
NGEx Resources;Sverige;Mid Cap;Material;Gruv - Prospekt & Drift;NGQ
Recipharm;Sverige;Mid Cap;Hälsovård;Läkemedel;RECI B
Scandi Standard;Sverige;Mid Cap;Dagligvaror;Livsmedel;SCST
Arctic Paper;Sverige;Small Cap;Material;Skogsbolag;ARP
Besqab;Sverige;Mid Cap;Industri;Bostadsbyggnation;BESQ
G5 Entertainment;Sverige;Mid Cap;Sällanköpsvaror;Gaming & Spel;G5EN
NeuroVive Pharmaceutical;Sverige;Small Cap;Hälsovård;Biotech;NVP
Oscar Properties;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;OP
Starbreeze B;Sverige;Mid Cap;Sällanköpsvaror;Gaming & Spel;STAR B
Cell Impact;Sverige;First North;Industri;Industrimaskiner;CI B
BIMobject;Sverige;First North;Informationsteknik;Affärs- & IT-System;BIM
Delarka;Sverige;First North;Finans & Fastighet;Fastighetsbolag;DELARK
