Bolagsnamn;Land;Lista;Sektor;Bransch;Ticker
Pegroco Pref;Sverige;First North;Finans & Fastighet;Investmentbolag;PEGRO PREF
Prime Living;Sverige;First North;Finans & Fastighet;Fastighetsbolag;PRIME
SavoSolar;Sverige;First North;Kraftförsörjning;Solkraft;SAVOS
Scibase;Sverige;First North;Hälsovård;Medicinsk Utrustning;SCIB
SolTech Energy;Sverige;First North;Kraftförsörjning;Solkraft;SOLT
Spiffbet;Sverige;First North;Sällanköpsvaror;Betting & Casino;SPIFF
TargetEveryOne;Sverige;First North;Sällanköpsvaror;Marknadsföring;TEONE
SaltX Technology;Sverige;First North;Industri;Energi & Återvinning;SALT B
Aptahem;Sverige;Spotlight;Hälsovård;Biotech;APTA
Cline Scientific;Sverige;Spotlight;Hälsovård;Biotech;CLINE B
CombiGene;Sverige;First North;Hälsovård;Biotech;COMBI
Idogen;Sverige;Spotlight;Hälsovård;Biotech;IDOGEN
Nanexa;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;NANEXA
Orezone;Sverige;Spotlight;Material;Gruv - Prospekt & Drift;ORE
Pharmacolog;Sverige;First North;Hälsovård;Medicinsk Utrustning;PHLOG B
Redsense Medical;Sverige;First North;Hälsovård;Medicinsk Utrustning;REDS
Transtema;Sverige;First North;Telekommunikation;Telekomtjänster;TRANS
Vibrosense Dynamics;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;VSD B
Bonäsudden;Sverige;First North;Finans & Fastighet;Fastighetsbolag;BONAS
IVISYS;Sverige;First North;Informationsteknik;Elektronisk Utrustning;IVISYS
Link Prop;Sverige;First North;Finans & Fastighet;Fastighetsbolag;LINKAB
Asiakastieto;Finland;Mid Cap;Industri;Mätning & Analys;ATG1V
Pihlajalinna;Finland;Mid Cap;Hälsovård;Sjukhus & Vårdhem;PIHLIS
Insplorion;Sverige;Spotlight;Industri;Mätning & Analys;INSP
SpectraCure;Sverige;First North;Hälsovård;Medicinsk Utrustning;SPEC
Endomines Oyj;Finland;Small Cap;Material;Gruv - Guld & Silver;ENDOM
Sotkamo Silver Oyj;Finland;Small Cap;Material;Gruv - Guld & Silver;SOSI1
Saga Furs;Finland;Small Cap;Sällanköpsvaror;Kläder & Skor;SAGCV
Neo Industrial;Finland;Small Cap;Industri;Industrikomponenter;NEO1V
Valoe;Finland;Small Cap;Kraftförsörjning;Solkraft;VALOE
Apetit;Finland;Small Cap;Dagligvaror;Livsmedel;APETIT
Afarak;Finland;Mid Cap;Material;Gruv - Industrimetaller;AFAGR
Aspocomp;Finland;Small Cap;Informationsteknik;Elektronik & Tillverkning;ACG1V
CapMan;Finland;Mid Cap;Finans & Fastighet;Investmentbolag;CAPMAN
Componenta;Finland;Small Cap;Industri;Industrikomponenter;CTH1V
Digia;Finland;Small Cap;Informationsteknik;IT-Konsulter;DIGIA
Dovre;Finland;Small Cap;Industri;Affärskonsulter;DOV1V
Efore;Finland;Small Cap;Industri;Elektroniska komponenter;EFO1V
eQ Oyj;Finland;Mid Cap;Finans & Fastighet;Kapitalförvaltning;EQV1V
Etteplan;Finland;Mid Cap;Industri;Affärskonsulter;ETTE
Suominen;Finland;Mid Cap;Dagligvaror;Hygienprodukter;SUY1V
Solteq;Finland;Small Cap;Informationsteknik;IT-Konsulter;SOLTEQ
Exel Composites;Finland;Small Cap;Industri;Industrikomponenter;EXL1V
Glaston;Finland;Small Cap;Industri;Byggmaterial;GLA1V
Innofactor;Finland;Small Cap;Informationsteknik;Affärs- & IT-System;IFA1V
SSH Communications;Finland;Small Cap;Informationsteknik;Säkerhet & Bevakning;SSH1V
Ålandsbanken B;Finland;Mid Cap;Finans & Fastighet;Banker;ALBBV
Raute;Finland;Small Cap;Industri;Industrimaskiner;RAUTE
Biohit;Finland;Small Cap;Hälsovård;Hälsovård & Hjälpmedel;BIOBV
QPR Software;Finland;Small Cap;Informationsteknik;Affärs- & IT-System;QPR1V
Elecster;Finland;Small Cap;Industri;Industrimaskiner;ELEAV
Honkarakenne;Finland;Small Cap;Industri;Bostadsbyggnation;HONBS
Ilkka-Yhtymä 2;Finland;Small Cap;Sällanköpsvaror;Media & Publicering;ILK2S
Incap;Finland;Small Cap;Industri;Industrimaskiner;ICP1V
Digitalist Group;Finland;Small Cap;Informationsteknik;IT-Konsulter;DIGIGR
Oravo;Finland;Small Cap;Finans & Fastighet;Fastighet - REIT;OVARO
Marimekko;Finland;Small Cap;Sällanköpsvaror;Kläder & Skor;MMO1V
Martela;Finland;Small Cap;Industri;Bygginredning;MARAS
Nurminen Logistics;Finland;Small Cap;Industri;Tåg- & Lastbilstransport;NLG1V
Keskisuomalainen;Finland;Small Cap;Sällanköpsvaror;Media & Publicering;KSLAV
Kesla;Finland;Small Cap;Industri;Industrimaskiner;KELAS
Pohjois-Karjalan;Finland;Small Cap;Sällanköpsvaror;Media & Publicering;PKK1V
Revenio;Finland;Mid Cap;Hälsovård;Medicinsk Utrustning;REG1V
Sievi Capital;Finland;Small Cap;Finans & Fastighet;Investmentbolag;SIEVI
Soprano;Finland;Small Cap;Industri;Utbildning;SOPRA
Investors House;Finland;Small Cap;Finans & Fastighet;Fastighetsbolag;INVEST
Trainers House;Finland;Small Cap;Industri;Utbildning;TRH1V
Uutechnic;Finland;Small Cap;Industri;Industrimaskiner;UUTEC
Yleiselektroniikka;Finland;Small Cap;Industri;Elektroniska komponenter;YLEPS
NoHo Partners;Finland;Small Cap;Sällanköpsvaror;Restaurang & Café;NOHO
Panostaja;Finland;Small Cap;Finans & Fastighet;Investmentbolag;PNA1V
Scanfil;Finland;Mid Cap;Informationsteknik;Elektronik & Tillverkning;SCANFL
Tecnotree;Finland;Small Cap;Informationsteknik;Affärs- & IT-System;TEM1V
Teleste;Finland;Small Cap;Informationsteknik;Kommunikation;TLT1V
Tulikivi;Finland;Small Cap;Sällanköpsvaror;Möbler & Inredning;TULAV
Wulff-Yhtiöt;Finland;Small Cap;Industri;Bygginredning;WUF1V
OMX Copen 20;Danmark;Index;-;-;OMXC20
OMX Copen 20 GI;Danmark;Index;-;-;OMXC20GI
OMX Copen All;Danmark;Index;-;-;OMXCPI
OMX Copen All GI;Danmark;Index;-;-;OMXCGI
OMX Copen Large C;Danmark;Index;-;-;OMXCLCPI
OMX Copen Mid C;Danmark;Index;-;-;OMXCMCPI
OMX Copen Small C;Danmark;Index;-;-;OMXCSCPI
OMX Copen Oil&Gas;Danmark;Index;-;-;CX0001PI
OMX Copen Industrial;Danmark;Index;-;-;CX2000PI
OMX Copen Goods;Danmark;Index;-;-;CX3000PI
OMX Copen Health;Danmark;Index;-;-;CX4000PI
OMX Copen Sercives;Danmark;Index;-;-;CX5000PI
OMX Copen Telecom;Danmark;Index;-;-;CX6000PI
OMX Copen Utilities;Danmark;Index;-;-;CX7000PI
OMX Copen Financials;Danmark;Index;-;-;CX8000PI
OMX Copen Technology;Danmark;Index;-;-;CX9000PI
OB Oslo 25;Norge;Index;-;-;OSEBX
OB Oslo 25 GI;Norge;Index;-;-;OBX
OB Oslo All;Norge;Index;-;-;OSEAX
OB Axess All;Norge;Index;-;-;OAAX
OB Oslo Oil&Gas;Norge;Index;-;-;OSE10GI
OB Oslo Industrial;Norge;Index;-;-;OSE20GI
OB Oslo Staples;Norge;Index;-;-;OSE30GI
OB Oslo Health;Norge;Index;-;-;OSE35GI
OB Oslo Consumer;Norge;Index;-;-;OSE25GI
OB Oslo Utilities;Norge;Index;-;-;OSE55GI
OB Oslo Financials;Norge;Index;-;-;OSE40GI
OB Oslo Technology;Norge;Index;-;-;OSE45GI
Vostok Emerging;Sverige;First North;Finans & Fastighet;Investmentbolag;VEMF SDB
Ahola Transport;Finland;First North;Industri;Tåg- & Lastbilstransport;AHOLA
Double Bond Pharma;Sverige;Spotlight;Hälsovård;Biotech;DBP B
Hybricon;Sverige;Spotlight;Industri;Tåg- & Lastbilstransport;HYCO
Oncology Venture;Sverige;First North;Hälsovård;Biotech;OV
Swemet;Sverige;NGM;Industri;Elektroniska komponenter;SWEM MTF B
Footway Pref;Sverige;First North;Sällanköpsvaror;Kläder & Skor;FOOT PREF
Aker Solutions;Norge;OBX;Energi;Olja & Gas - Service;AKSO
BW LPG;Norge;OB Match;Energi;Olja & Gas - Transport;BWLPG
Aker BP;Norge;OBX;Energi;Olja & Gas - Exploatering;AKERBP
DNB;Norge;OBX;Finans & Fastighet;Banker;DNB
DNO;Norge;OBX;Energi;Olja & Gas - Exploatering;DNO
A.P. Moller Maersk B;Danmark;Large Cap;Industri;Sjöfart & Rederi;MAERSK B
Carlsberg B;Danmark;Large Cap;Dagligvaror;Bryggeri;CARL B
Chr Hansen;Danmark;Large Cap;Dagligvaror;Livsmedel;CHR
Coloplast;Danmark;Large Cap;Hälsovård;Medicinsk Utrustning;COLO B
Danske Bank;Danmark;Large Cap;Finans & Fastighet;Banker;DANSKE
Dolphin Drilling;Norge;OB Match;Energi;Olja & Gas - Borrning;DDASA
Frontline;Norge;OB Match;Energi;Olja & Gas - Transport;FRO
Gjensidige Forsikring;Norge;OBX;Finans & Fastighet;Försäkring;GJF
Mowi;Norge;OBX;Dagligvaror;Fiskodling;MOWI
Nordic Semiconductor;Norge;OB Match;Informationsteknik;Elektronik & Tillverkning;NOD
DSV;Danmark;Large Cap;Industri;Tåg- & Lastbilstransport;DSV
FLSmidth & Co.;Danmark;Large Cap;Industri;Byggmaterial;FLS
G4S;Danmark;Large Cap;Industri;Säkerhet;G4S
Genmab;Danmark;Large Cap;Hälsovård;Biotech;GEN
GN Store Nord;Danmark;Large Cap;Hälsovård;Medicinsk Utrustning;GN
Equinor;Norge;OBX;Energi;Olja & Gas - Försäljning;EQNR
Kotipizza;Finland;Small Cap;Sällanköpsvaror;Restaurang & Café;PIZZA
Novo Nordisk;Danmark;Large Cap;Hälsovård;Läkemedel;NOVO B
Capacent;Sverige;First North;Industri;Affärskonsulter;CAPAC
CLX Communications;Sverige;Mid Cap;Informationsteknik;Kommunikation;CLX
Bravida;Sverige;Large Cap;Industri;Installation & VVS;BRAV
Dometic;Sverige;Large Cap;Sällanköpsvaror;Bil & Motor;DOM
Klaria Pharma;Sverige;First North;Hälsovård;Biotech;KLAR
MoxieTech;Sverige;First North;Industri;Bemanning;MOXI
Minesto;Sverige;First North;Kraftförsörjning;Förnybarenergi;MINEST
Photocat;Sverige;First North;Industri;Installation & VVS;PCAT
Waystream;Sverige;First North;Informationsteknik;Kommunikation;WAYS
Alzinova;Sverige;Spotlight;Hälsovård;Biotech;ALZ
Hamlet Pharma;Sverige;Spotlight;Hälsovård;Biotech;HAMLET
Nanologica;Sverige;Spotlight;Hälsovård;Biotech;NICA
PExA;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;PEXA B
Attendo;Sverige;Large Cap;Hälsovård;Sjukhus & Vårdhem;ATT
Camurus;Sverige;Mid Cap;Hälsovård;Läkemedel;CAMX
Scandic Hotels;Sverige;Mid Cap;Sällanköpsvaror;Hotell & Camping;SHOT
AdCityMedia;Sverige;First North;Sällanköpsvaror;Marknadsföring;ACM
Immunovia;Sverige;Mid Cap;Hälsovård;Medicinsk Utrustning;IMMNOV
Nilsson Special Vehicles;Sverige;First North;Sällanköpsvaror;Bil & Motor;NILS
Stillfront;Sverige;First North;Sällanköpsvaror;Gaming & Spel;SF
TC TECH;Sverige;First North;Industri;Industrimaskiner;TCT
Vicore Pharma;Sverige;First North;Hälsovård;Läkemedel;VICO
Zenergy;Sverige;Spotlight;Industri;Bostadsbyggnation;ZENZIP B
Evli Pankki;Finland;Mid Cap;Finans & Fastighet;Nischbanker;EVLI
Consti Yhtiöt;Finland;Small Cap;Industri;Byggnation & Infrastruktur;CONSTI
Genova Property Pref;Sverige;First North;Finans & Fastighet;Fastighetsbolag;GPG PREF
Nuevolution;Sverige;Small Cap;Hälsovård;Biotech;NUE
IMINT;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System;IMINT
Toleranzia;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;TOL
Prebona;Sverige;Spotlight;Hälsovård;Läkemedel;PREBON
QuickCool;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;QUICK
Implementa Sol;Sverige;NGM;Kraftförsörjning;Solkraft;IMSOL MTF B
Pandora;Danmark;Large Cap;Sällanköpsvaror;Accessoarer;PNDORA
Vestas Wind Systems;Danmark;Large Cap;Kraftförsörjning;Vindkraft;VWS
Royal UNIBREW;Danmark;Large Cap;Dagligvaror;Bryggeri;RBREW
Lundbeck;Danmark;Large Cap;Hälsovård;Läkemedel;LUN
Nordea Bank;Danmark;Large Cap;Finans & Fastighet;Banker;NDA DK
Orkla;Norge;OBX;Dagligvaror;Livsmedel;ORK
Yara International;Norge;OBX;Material;Kemikalier;YAR
ISS;Danmark;Large Cap;Industri;Stödtjänster & Service;ISS
Jyske Bank;Danmark;Large Cap;Finans & Fastighet;Banker;JYSK
Kobenhavns Lufthavne;Danmark;Large Cap;Industri;Flygtransport;KBHL
Novozymes;Danmark;Large Cap;Material;Kemikalier;NZYM B
DalsSpira Mejeri;Sverige;Spotlight;Dagligvaror;Jordbruk;SPIRA
Rockwool B;Danmark;Large Cap;Industri;Byggmaterial;ROCK B
Sydbank;Danmark;Large Cap;Finans & Fastighet;Banker;SYDB
Topdanmark;Danmark;Large Cap;Finans & Fastighet;Försäkring;TOP
Tryg;Danmark;Large Cap;Finans & Fastighet;Försäkring;TRYG
William Demant;Danmark;Large Cap;Hälsovård;Medicinsk Utrustning;WDH
Norsk Hydro;Norge;OBX;Material;Gruv - Industrimetaller;NHY
Norwegian Air Shuttle;Norge;OBX;Industri;Flygtransport;NAS
Otello;Norge;OB Match;Informationsteknik;Internettjänster;OTELLO
Petroleum Geo-Services;Norge;OBX;Energi;Olja & Gas - Service;PGS
REC Silicon;Norge;OB Match;Kraftförsörjning;Solkraft;REC
Schibsted A;Norge;OBX;Sällanköpsvaror;Media & Publicering;SCHA
Seadrill;Norge;OB Match;Energi;Olja & Gas - Borrning;SDRL
Storebrand;Norge;OBX;Finans & Fastighet;Försäkring;STB
Subsea7;Norge;OBX;Energi;Olja & Gas - Service;SUBC
Telenor;Norge;OBX;Telekommunikation;Bredband & Telefoni;TEL
TGS-NOPEC;Norge;OBX;Energi;Olja & Gas - Service;TGS
Avance Gas;Norge;OB Match;Energi;Olja & Gas - Transport;AVANCE
Bakkafrost;Norge;OBX;Dagligvaror;Fiskodling;BAKKA
Raybased;Sverige;Spotlight;Informationsteknik;Säkerhet & Bevakning;RBASE
FastOut Int.;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System;FOUT
Sleepo;Sverige;Spotlight;Sällanköpsvaror;Möbler & Inredning;SLEEP
NEXT Biometrics;Norge;OB Match;Informationsteknik;Biometri;NEXT
Zalaris;Norge;OB Match;Informationsteknik;Affärs- & IT-System;ZAL
NattoPharma;Norge;Oslo Axess;Hälsovård;Läkemedel;NATTO
Medistim;Norge;OB Standard;Hälsovård;Medicinsk Utrustning;MEDI
Matas;Danmark;Mid Cap;Dagligvaror;Hygienprodukter;MATAS
FirstFarms;Danmark;Small Cap;Dagligvaror;Jordbruk;FFARMS
Sino Agro Food;Norge;Merkur Market;Dagligvaror;Fiskodling;SIAF-ME
Esoft Systems;Danmark;First North;Sällanköpsvaror;Marknadsföring;ESOFT
Detection;Finland;First North;Hälsovård;Medicinsk Utrustning;DETEC
Xbrane Biopharma;Sverige;First North;Hälsovård;Biotech;XBRANE
Catena Media;Sverige;Mid Cap;Sällanköpsvaror;Betting & Casino;CTM
Sjöstrand Coffee;Sverige;Spotlight;Sällanköpsvaror;Hemelektronik;SCC B
Invent Medic;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;IMS
Loudspring Oyj;Finland;First North;Finans & Fastighet;Investmentbolag;LOUD
EAB Group;Finland;First North;Finans & Fastighet;Kapitalförvaltning;EABGB
FIT Biotech;Finland;First North;Hälsovård;Biotech;FITBIO
Herantis Pharma;Finland;First North;Hälsovård;Biotech;HRTIS
Nexstim Oyj;Finland;First North;Hälsovård;Medicinsk Utrustning;NXTMH
Nixu;Finland;Small Cap;Informationsteknik;Säkerhet & Bevakning;NIXU
Piippo;Finland;First North;Material;Förpackning;PIIPPO
Robit;Finland;Small Cap;Industri;Industrikomponenter;ROBIT
SavoSolar Oyj;Finland;First North;Kraftförsörjning;Solkraft;SAVOH
Siili Solutions;Finland;Small Cap;Informationsteknik;Affärs- & IT-System;SIILI
Taaleri;Finland;Mid Cap;Finans & Fastighet;Kapitalförvaltning;TAALA
Talenom;Finland;Small Cap;Industri;Affärskonsulter;TNOM
United Bankers;Finland;First North;Finans & Fastighet;Kapitalförvaltning;UNIAV
Verkkokauppa.com;Finland;First North;Sällanköpsvaror;Detaljhandel;VERK
XXL;Norge;OB Match;Sällanköpsvaror;Detaljhandel;XXL
LeoVegas;Sverige;Mid Cap;Sällanköpsvaror;Betting & Casino;LEO
Insr Insurance;Norge;OB Match;Finans & Fastighet;Försäkring;INSR
Bonheur;Norge;OB Match;Energi;Olja & Gas - Borrning;BON
Protector;Norge;OB Match;Finans & Fastighet;Försäkring;PROTCT
Thin Film;Norge;OB Match;Informationsteknik;Elektronik & Tillverkning;THIN
AF Gruppen;Norge;OB Match;Industri;Byggnation & Infrastruktur;AFG
Humana;Sverige;Mid Cap;Hälsovård;Sjukhus & Vårdhem;HUM
GARO;Sverige;Mid Cap;Industri;Elektroniska komponenter;GARO
Dividend Sweden;Sverige;NGM;Finans & Fastighet;Investmentbolag;DIVI MTF B
RhoVac;Sverige;Spotlight;Hälsovård;Biotech;RHOVAC
Polygiene;Sverige;First North;Sällanköpsvaror;Kläder & Skor;POLYG
AddLife;Sverige;Mid Cap;Hälsovård;Biotech;ALIF B
Ocean Yield;Norge;OB Match;Energi;Olja & Gas - Transport;OCY
Kvaerner;Norge;OB Match;Energi;Olja & Gas - Service;KVAER
StrongPoint;Norge;OB Match;Industri;Säkerhet;STRONG
Atea;Norge;OB Match;Informationsteknik;IT-Konsulter;ATEA
Wallenius Wilhelmsen;Norge;OB Match;Industri;Sjöfart & Rederi;WWL
Stolt-Nielsen;Norge;OB Match;Industri;Sjöfart & Rederi;SNI
Tomra Systems;Norge;OB Match;Industri;Energi & Återvinning;TOM
Veidekke;Norge;OB Match;Industri;Byggnation & Infrastruktur;VEI
Kongsberg Gruppen;Norge;OB Match;Industri;Militär & Försvar;KOG
SalMar;Norge;OBX;Dagligvaror;Fiskodling;SALM
Napatech;Norge;OB Match;Informationsteknik;Kommunikation;NAPA
Bang & Olufsen;Danmark;Mid Cap;Sällanköpsvaror;Hemelektronik;BO
IC Group;Danmark;Mid Cap;Sällanköpsvaror;Kläder & Skor;IC
Flugger;Danmark;Small Cap;Material;Kemikalier;FLUG B
Roblon;Danmark;Small Cap;Material;Kemikalier;RBLN B
Xintela;Sverige;First North;Hälsovård;Biotech;XINT
ABG Sundal Collier;Norge;OB Match;Finans & Fastighet;Nischbanker;ASC
Hiddn Solutions;Norge;OB Match;Informationsteknik;Säkerhet & Bevakning;HIDDN
Akastor;Norge;OB Match;Energi;Olja & Gas - Service;AKA
Aker;Norge;OBX;Finans & Fastighet;Investmentbolag;AKER
AKVA Group;Norge;OB Match;Dagligvaror;Fiskodling;AKVA
American Shipping;Norge;OB Match;Industri;Sjöfart & Rederi;AMSC
Aqualis;Norge;OB Match;Energi;Olja & Gas - Service;AQUA
Archer;Norge;OB Match;Energi;Olja & Gas - Borrning;ARCHER
Austevoll Seafood;Norge;OB Match;Dagligvaror;Fiskodling;AUSS
Avocet Mining;Norge;OB Standard;Material;Gruv - Guld & Silver;AVM
Belships;Norge;OB Standard;Industri;Sjöfart & Rederi;BEL
Solon Eiendom;Norge;OB Match;Finans & Fastighet;Fastighetsbolag;SOLON
Biotec Pharmacon;Norge;OB Match;Hälsovård;Biotech;BIOTEC
Techstep;Norge;OB Match;Informationsteknik;Affärs- & IT-System;TECH
Wilh. Wilhelmsen B;Norge;OB Match;Industri;Sjöfart & Rederi;WWIB
Borgestad;Norge;OB Match;Finans & Fastighet;Fastighetsbolag;BOR
Borregaard;Norge;OB Match;Material;Kemikalier;BRG
BW Offshore Limited;Norge;OBX;Energi;Olja & Gas - Service;BWO
ContextVision;Norge;OB Match;Hälsovård;Medicinsk Utrustning;COV
Simris Alg;Sverige;First North;Dagligvaror;Hälsoprodukter;SIMRIS B
DOF;Norge;OB Match;Energi;Olja & Gas - Service;DOF
Eidesvik Offshore;Norge;OB Match;Industri;Sjöfart & Rederi;EIOF
Electromagnetic Geoservices;Norge;OB Match;Energi;Olja & Gas - Service;EMGS
Entra;Norge;OB Match;Finans & Fastighet;Fastighetsbolag;ENTRA
Funcom;Norge;OB Match;Sällanköpsvaror;Gaming & Spel;FUNCOM
Gaming Innovation;Norge;OB Match;Sällanköpsvaror;Betting & Casino;GIG
Golden Ocean;Norge;OBX;Industri;Sjöfart & Rederi;GOGL
Goodtech;Norge;OB Standard;Industri;Affärskonsulter;GOD
Grieg Seafood;Norge;OBX;Dagligvaror;Fiskodling;GSF
Havila Shipping;Norge;OB Match;Energi;Olja & Gas - Service;HAVI
Hexagon Composites;Norge;OB Match;Material;Förpackning;HEX
Höegh LNG;Norge;OB Match;Energi;Olja & Gas - Transport;HLNG
IDEX;Norge;OB Match;Informationsteknik;Biometri;IDEX
InterOil Exploration;Norge;OB Match;Energi;Olja & Gas - Exploatering;IOX
Element;Norge;OB Match;Material;Gruv - Prospekt & Drift;ELE
Jinhui Shipping;Norge;OB Match;Industri;Sjöfart & Rederi;JIN
Kongsberg Automotive;Norge;OB Match;Industri;Industrikomponenter;KOA
Infant Bacterial;Sverige;Mid Cap;Hälsovård;Läkemedel;IBT B
Sydsvenska Hem;Sverige;Spotlight;Finans & Fastighet;Fastighetsbolag;SYDSV
Suomen Hoivatilat;Finland;Mid Cap;Finans & Fastighet;Fastighetsbolag;HOIVA
Plejd;Sverige;Spotlight;Industri;Elektroniska komponenter;PLEJD
Vadsbo SwitchTech;Sverige;Spotlight;Industri;Elektroniska komponenter;VADS
Litium;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System;LITI
Nepa;Sverige;First North;Informationsteknik;Affärs- & IT-System;NEPA
Resurs Holding;Sverige;Large Cap;Finans & Fastighet;Kredit & Finansiering;RESURS
Leroy Seafood;Norge;OBX;Dagligvaror;Fiskodling;LSG
Multiconsult;Norge;OB Match;Industri;Affärskonsulter;MULTI
Navamedic;Norge;OB Match;Hälsovård;Läkemedel;NAVA
NEL;Norge;OBX;Kraftförsörjning;Förnybarenergi;NEL
NextGenTel;Norge;OB Standard;Telekommunikation;Telekomtjänster;NGT
Axactor;Norge;OB Match;Finans & Fastighet;Kredit & Finansiering;AXA
Nordic Nanovector;Norge;OB Match;Hälsovård;Biotech;NANO
Norway Royal Salmon;Norge;OB Match;Dagligvaror;Fiskodling;NRS
Norwegian Energy;Norge;OB Match;Energi;Olja & Gas - Exploatering;NOR
Norwegian Property;Norge;OB Match;Finans & Fastighet;Fastighetsbolag;NPRO
NRC Group;Norge;OB Match;Industri;Byggnation & Infrastruktur;NRC
Odfjell B;Norge;OB Match;Industri;Sjöfart & Rederi;ODFB
Odfjell Drilling;Norge;OB Match;Energi;Olja & Gas - Borrning;ODL
Olav Thon;Norge;OB Match;Finans & Fastighet;Fastighetsbolag;OLT
Panoro Energy;Norge;OB Match;Energi;Olja & Gas - Exploatering;PEN
Petrolia;Norge;OB Standard;Energi;Olja & Gas - Service;PDR
Photocure;Norge;OB Match;Hälsovård;Läkemedel;PHO
Polarcus;Norge;OB Match;Energi;Olja & Gas - Service;PLCS
Prosafe;Norge;OB Match;Energi;Olja & Gas - Service;PRS
Q-Free;Norge;OB Standard;Informationsteknik;Kommunikation;QFR
Questerre Energy;Norge;OB Match;Energi;Olja & Gas - Exploatering;QEC
SAS Nok;Norge;OB Match;Industri;Flygtransport;SAS NOK
Incus Investor;Norge;OB Standard;Finans & Fastighet;Investmentbolag;INC
Scatec Solar;Norge;OB Match;Kraftförsörjning;Solkraft;SSO
Selvaag Bolig;Norge;OB Match;Finans & Fastighet;Fastighetsbolag;SBO
