Bolagsnamn;Land;Lista;Sektor;Bransch;Ticker
SeaBird Exploration;Norge;OB Match;Energi;Olja & Gas - Service;SBX
Magnora;Norge;OB Standard;Energi;Olja & Gas - Service;MGN
Siem Offshore;Norge;OB Standard;Energi;Olja & Gas - Service;SIOFF
Solstad Offshore;Norge;OB Match;Energi;Olja & Gas - Transport;SOFF
SpareBank;Norge;OB Match;Finans & Fastighet;Banker;SRBANK
Spectrum;Norge;OB Match;Energi;Olja & Gas - Service;SPU
Storm Real Estate;Norge;OB Standard;Finans & Fastighet;Fastighetsbolag;STORM
Team Tankers;Norge;OB Standard;Industri;Sjöfart & Rederi;TEAM
TTS Group;Norge;OB Standard;Industri;Sjöfart & Rederi;TTS
Wentworth Resources;Norge;OB Match;Energi;Olja & Gas - Exploatering;WRL
Voss Veksel Landmandsbank;Norge;OB Match;Finans & Fastighet;Banker;VVL
Apptix;Norge;OB Match;Informationsteknik;Affärs- & IT-System;APP
Arendals Fossekompani;Norge;OB Match;Kraftförsörjning;Elförsörjning;AFK
Asetek;Norge;OB Match;Informationsteknik;Datorer & Hårdvara;ASETEK
Atlantic Petroleum;Norge;OB Standard;Energi;Olja & Gas - Exploatering;ATLA NOK
Bergen Group;Norge;OB Match;Industri;Sjöfart & Rederi;BERGEN
Bouvet;Norge;OB Match;Informationsteknik;IT-Konsulter;BOUVET
Byggma;Norge;OB Standard;Industri;Byggmaterial;BMA
Data Respons;Norge;OB Match;Informationsteknik;IT-Konsulter;DAT
EMAS Offshore;Norge;OB Standard;Energi;Olja & Gas - Service;EMAS
Europris;Norge;OB Match;Dagligvaror;Livsmedelsbutiker;EPR
Paradox Interactive;Sverige;First North;Sällanköpsvaror;Gaming & Spel;PDX
GC Rieber Shipping;Norge;OB Standard;Industri;Sjöfart & Rederi;RISH
Gyldendal;Norge;OB Standard;Sällanköpsvaror;Media & Publicering;GYL
Havyard Group;Norge;OB Match;Industri;Sjöfart & Rederi;HYARD
Itera;Norge;OB Match;Informationsteknik;IT-Konsulter;ITE
Kid;Norge;OB Match;Sällanköpsvaror;Möbler & Inredning;KID
Kitron;Norge;OB Match;Industri;Elektroniska komponenter;KIT
Oceanteam;Norge;OB Match;Energi;Olja & Gas - Transport;OTS
NTS;Norge;OB Standard;Industri;Sjöfart & Rederi;NTS
Polaris Media;Norge;OB Standard;Sällanköpsvaror;Media & Publicering;POL
RAK Petroleum;Norge;OB Match;Energi;Olja & Gas - Exploatering;RAKP
Reach Subsea;Norge;OB Match;Energi;Olja & Gas - Service;REACH
Sbanken;Norge;OB Match;Finans & Fastighet;Nischbanker;SBANK
The Scottish Salmon;Norge;OB Match;Dagligvaror;Fiskodling;SSC
Wilson;Norge;OB Standard;Industri;Sjöfart & Rederi;WILS
African Petroleum;Norge;Oslo Axess;Energi;Olja & Gas - Exploatering;APCL
Aqua Bio Technology;Norge;Oslo Axess;Dagligvaror;Hälsoprodukter;ABT
Awilco Drilling;Norge;OB Match;Energi;Olja & Gas - Borrning;AWDR
Awilco LNG;Norge;Oslo Axess;Energi;Olja & Gas - Transport;ALNG
Hunter Group;Norge;Oslo Axess;Energi;Olja & Gas - Service;HUNT
Cxense;Norge;OB Match;Informationsteknik;Affärs- & IT-System;CXENSE
EAM Solar;Norge;Oslo Axess;Kraftförsörjning;Solkraft;EAM
Hofseth BioCare;Norge;Oslo Axess;Dagligvaror;Hälsoprodukter;HBC
FLEX LNG;Norge;OB Match;Energi;Olja & Gas - Exploatering;FLNG
5th Planet Games;Norge;Oslo Axess;Sällanköpsvaror;Gaming & Spel;FIVEPG
Magseis Fairfield;Norge;OB Match;Energi;Olja & Gas - Service;MSEIS
Nordic Mining;Norge;Oslo Axess;Material;Gruv - Prospekt & Drift;NOM
North Energy;Norge;Oslo Axess;Energi;Olja & Gas - Exploatering;NORTH
PCI Biotech;Norge;OB Match;Hälsovård;Biotech;PCIB
Philly Shipyard;Norge;Oslo Axess;Industri;Sjöfart & Rederi;PHLY
Pioneer Property Pref;Norge;Oslo Axess;Finans & Fastighet;Fastighetsbolag;PPG PREF
RomReal;Norge;Oslo Axess;Finans & Fastighet;Fastighetsbolag;ROM
S.D. Standard Drilling;Norge;OB Match;Energi;Olja & Gas - Borrning;SDSD
Saga Tankers;Norge;Oslo Axess;Energi;Olja & Gas - Transport;SAGA
Scanship;Norge;Oslo Axess;Industri;Energi & Återvinning;SSHIP
Vistin Pharma;Norge;OB Match;Hälsovård;Läkemedel;VISTIN
Aasen Sparebank;Norge;Merkur Market;Finans & Fastighet;Banker;AASB-ME
Atlantic Lumpus;Norge;Merkur Market;Dagligvaror;Fiskodling;ATLU-ME
Black Sea Property;Norge;Merkur Market;Finans & Fastighet;Fastighetsbolag;BSP-ME
Induct;Norge;Merkur Market;Informationsteknik;Affärs- & IT-System;INDUCT-ME
WR Entertainment;Norge;Merkur Market;Sällanköpsvaror;Media & Publicering;WRE-ME
ALK-Abello;Danmark;Large Cap;Hälsovård;Läkemedel;ALK B
Alm. Brand;Danmark;Large Cap;Finans & Fastighet;Försäkring;ALMB
Ambu;Danmark;Large Cap;Hälsovård;Medicinsk Utrustning;AMBU B
Bavarian Nordic;Danmark;Mid Cap;Hälsovård;Biotech;BAVA
DS Norden;Danmark;Mid Cap;Industri;Sjöfart & Rederi;DNORD
DFDS;Danmark;Large Cap;Industri;Sjöfart & Rederi;DFDS
Athena Investments;Danmark;Small Cap;Kraftförsörjning;Förnybarenergi;ATHENA
Jeudan;Danmark;Large Cap;Finans & Fastighet;Fastighetsbolag;JDAN
Jutlander Bank;Danmark;Mid Cap;Finans & Fastighet;Banker;JUTBK
NKT Holding;Danmark;Mid Cap;Industri;Elektroniska komponenter;NKT
NNIT;Danmark;Mid Cap;Informationsteknik;IT-Konsulter;NNIT
Onxeo;Danmark;Small Cap;Hälsovård;Läkemedel;ONXEO
Per Aarsleff;Danmark;Mid Cap;Industri;Byggnation & Infrastruktur;PAAL B
Ringkjobing Landbobank;Danmark;Large Cap;Finans & Fastighet;Banker;RILBA
SAS ddk;Danmark;Mid Cap;Industri;Flygtransport;SAS DKK
Schouw & Co.;Danmark;Large Cap;Industri;Industrikomponenter;SCHO
SimCorp;Danmark;Large Cap;Informationsteknik;Affärs- & IT-System;SIM
Solar;Danmark;Mid Cap;Industri;Affärskonsulter;SOLAR B
Sparekassen Sjaelland;Danmark;Mid Cap;Finans & Fastighet;Banker;SPKSJF
Tivoli;Danmark;Mid Cap;Sällanköpsvaror;Resor & Nöjen;TIV
Spar Nord Bank;Danmark;Large Cap;Finans & Fastighet;Banker;SPNO
United Int. Enterprises;Danmark;Mid Cap;Dagligvaror;Jordbruk;UIE
Veloxis Pharmaceuticals;Danmark;Mid Cap;Hälsovård;Biotech;VELO
Zealand Pharma;Danmark;Mid Cap;Hälsovård;Biotech;ZEAL
Össur;Danmark;Large Cap;Hälsovård;Medicinsk Utrustning;OSSR
AaB;Danmark;Small Cap;Sällanköpsvaror;Fritid & Sport;AAB
AGF B;Danmark;Small Cap;Sällanköpsvaror;Fritid & Sport;AGF B
Admiral Capital;Danmark;Small Cap;Finans & Fastighet;Fastighetsbolag;ADMCAP B
Andersen & Martini;Danmark;Small Cap;Sällanköpsvaror;Bil & Motor;AM B
Arkil Holding;Danmark;Small Cap;Industri;Byggnation & Infrastruktur;ARKIL B
Atlantic Petroleum ddk;Danmark;Small Cap;Energi;Olja & Gas - Exploatering;ATLA DKK
BankNordik;Danmark;Mid Cap;Finans & Fastighet;Banker;BNORDIK CSE
BioPorto;Danmark;Small Cap;Hälsovård;Biotech;BIOPOR
Blue Vision;Danmark;Small Cap;Finans & Fastighet;Fastighetsbolag;BLVIS A
Brd. Klee;Danmark;Small Cap;Industri;Industrikomponenter;KLEE B
Brdr. A&O Johansen;Danmark;Small Cap;Industri;Installation & VVS;AOJ P
Brdr. Hartmann;Danmark;Mid Cap;Material;Förpackning;HART
Brondby IF;Danmark;Small Cap;Sällanköpsvaror;Fritid & Sport;BIF
cBrain;Danmark;Small Cap;Informationsteknik;Affärs- & IT-System;CBRAIN
ChemoMetec;Danmark;Small Cap;Hälsovård;Medicinsk Utrustning;CHEMM
Columbus;Danmark;Mid Cap;Informationsteknik;Affärs- & IT-System;COLUM
Copenhagen Capital;Danmark;Small Cap;Finans & Fastighet;Fastighet - REIT;CPHCAP ST
Danske Andelskassers;Danmark;Small Cap;Finans & Fastighet;Nischbanker;DAB
Dantax;Danmark;Small Cap;Sällanköpsvaror;Hemelektronik;DANT
Djurslands Bank;Danmark;Small Cap;Finans & Fastighet;Banker;DJUR
DLH;Danmark;Small Cap;Industri;Byggmaterial;DLH
Egetaepper;Danmark;Small Cap;Sällanköpsvaror;Möbler & Inredning;EGE B
Erria;Danmark;First North;Industri;Sjöfart & Rederi;ERRIA
Boliga Gruppen;Danmark;Small Cap;Industri;Mätning & Analys;BOLIGA
F.E. Bording;Danmark;Small Cap;Industri;Affärskonsulter;BORD B
Fast Ejendom;Danmark;Small Cap;Finans & Fastighet;Fastighetsbolag;FED
Fynske Bank;Danmark;Small Cap;Finans & Fastighet;Banker;FYNBK
Gabriel Holding;Danmark;Small Cap;Sällanköpsvaror;Möbler & Inredning;GABR
German High Street;Danmark;Small Cap;Finans & Fastighet;Fastighetsbolag;GERHSP
Glunz & Jensen;Danmark;Small Cap;Industri;Industrimaskiner;GJ
Grönlandsbanken;Danmark;Small Cap;Finans & Fastighet;Banker;GRLA
Gyldendal B;Danmark;Small Cap;Sällanköpsvaror;Media & Publicering;GYLD B
HH International;Danmark;Mid Cap;Industri;Byggmaterial;HH
Harboes Bryggeri;Danmark;Small Cap;Dagligvaror;Bryggeri;HARB B
Hvidbjerg Bank;Danmark;Small Cap;Finans & Fastighet;Banker;HVID
Hojgaard B;Danmark;Small Cap;Industri;Byggnation & Infrastruktur;HOEJ B
InterMail;Danmark;Small Cap;Material;Förpackning;IMAIL
Kreditbanken;Danmark;Small Cap;Finans & Fastighet;Banker;KRE
Lollands Bank;Danmark;Small Cap;Finans & Fastighet;Banker;LOLB
Luxor;Danmark;Small Cap;Finans & Fastighet;Investmentbolag;LUXOR B
Lån og Spar Bank;Danmark;Mid Cap;Finans & Fastighet;Nischbanker;LASP
Migatronic;Danmark;Small Cap;Industri;Industrimaskiner;MIGA B
Monberg & Thorsen;Danmark;Small Cap;Industri;Byggnation & Infrastruktur;MT B
Mons Bank;Danmark;Small Cap;Finans & Fastighet;Banker;MNBA
NeuroSearch;Danmark;Small Cap;Hälsovård;Biotech;NEUR
NewCap Holding;Danmark;Small Cap;Finans & Fastighet;Kapitalförvaltning;NEWCAP
Nordfyns Bank;Danmark;Small Cap;Finans & Fastighet;Banker;NRDF
Nordic Shipholding;Danmark;Small Cap;Energi;Olja & Gas - Transport;NORDIC
Park Street Nordicom;Danmark;Small Cap;Finans & Fastighet;Fastighetsbolag;PSNRDC A
North Media;Danmark;Small Cap;Sällanköpsvaror;Media & Publicering;NORTHM
NTR Holding;Danmark;Small Cap;Industri;Elektroniska komponenter;NTR B
PARKEN Sport;Danmark;Small Cap;Sällanköpsvaror;Fritid & Sport;PARKEN
Prime Office;Danmark;Small Cap;Finans & Fastighet;Fastighetsbolag;PRIMOF
Rias;Danmark;Small Cap;Material;Kemikalier;RIAS B
RTX;Danmark;Mid Cap;Informationsteknik;Kommunikation;RTX
Salling Bank;Danmark;Small Cap;Finans & Fastighet;Banker;SALB
Sanistål;Danmark;Small Cap;Industri;Installation & VVS;SANI
Santa Fe Group;Danmark;Small Cap;Industri;Affärskonsulter;SFG
Scandinavian Brake;Danmark;Small Cap;Industri;Industrikomponenter;SBS
Scandinavian Private;Danmark;Small Cap;Finans & Fastighet;Investmentbolag;SPEAS
Silkeborg IF;Danmark;Small Cap;Sällanköpsvaror;Fritid & Sport;SIF
SKAKO;Danmark;Small Cap;Industri;Industrimaskiner;SKAKO
Skjern Bank;Danmark;Small Cap;Finans & Fastighet;Banker;SKJE
Small Cap Danmark;Danmark;Small Cap;Finans & Fastighet;Investmentbolag;SCD
SP Group;Danmark;Mid Cap;Material;Kemikalier;SPG
Rovsing;Danmark;Small Cap;Informationsteknik;Rymd- & Satellitteknik;ROV
Strategic Investments;Danmark;Small Cap;Finans & Fastighet;Investmentbolag;STRINV
TK Development;Danmark;Small Cap;Finans & Fastighet;Fastighetsbolag;TKDV
Cemat;Danmark;Small Cap;Finans & Fastighet;Fastighetsbolag;CEMAT
TORM;Danmark;Mid Cap;Energi;Olja & Gas - Transport;TRMD A
Totalbanken;Danmark;Small Cap;Finans & Fastighet;Banker;TOTA
Vestjysk Bank;Danmark;Mid Cap;Finans & Fastighet;Banker;VJBA
Victoria Properties;Danmark;Small Cap;Finans & Fastighet;Fastighetsbolag;VIPRO
EgnsINVEST;Danmark;First North;Finans & Fastighet;Fastighetsbolag;EGNETY
Enalyzer;Danmark;First North;Informationsteknik;Affärs- & IT-System;ENALYZ
FastPassCorp;Danmark;First North;Informationsteknik;Säkerhet & Bevakning;FASTPC
Jobindex;Danmark;First North;Industri;Bemanning;JOBNDX
WIRTEK;Danmark;First North;Informationsteknik;Affärs- & IT-System;WIRTEK
Tokmanni Group;Finland;Mid Cap;Sällanköpsvaror;Detaljhandel;TOKMAN
Lehto Group;Finland;Mid Cap;Industri;Bostadsbyggnation;LEHTO
Qt Group;Finland;Small Cap;Informationsteknik;Affärs- & IT-System;QTCOM
Real Holding;Sverige;NGM;Finans & Fastighet;Fastighetsbolag;REAL MTF B
Talkpool;Sverige;First North;Telekommunikation;Telekomtjänster;TALK
Lauritz;Sverige;First North;Informationsteknik;Internettjänster;LAUR
Provide IT;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System;PROVIT
Swedencare;Sverige;First North;Hälsovård;Medicinsk Utrustning;SECARE
B3 Consulting;Sverige;Small Cap;Informationsteknik;IT-Konsulter;B3
Bosjö Fastigheter;Sverige;Spotlight;Finans & Fastighet;Fastighetsbolag;BOSJO
Clean Motion;Sverige;First North;Sällanköpsvaror;Bil & Motor;CLEMO
FrontOffice Nordic;Sverige;NGM;Finans & Fastighet;Investmentbolag;FRNT MTF B
SynAct Pharma;Sverige;Spotlight;Hälsovård;Biotech;SYNACT
Alelion Energy;Sverige;First North;Industri;Industrikomponenter;ALELIO
BrandBee;Sverige;Spotlight;Informationsteknik;Internettjänster;BRANDB
TF Bank;Sverige;Mid Cap;Finans & Fastighet;Kredit & Finansiering;TFBANK
Nordic Waterproofing;Sverige;Mid Cap;Industri;Byggmaterial;NWG
AcadeMedia;Sverige;Mid Cap;Industri;Utbildning;ACAD
Orsted;Danmark;Large Cap;Kraftförsörjning;Vindkraft;ORSTED
Bonava B;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;BONAV B
PiezoMotor;Sverige;First North;Industri;Elektroniska komponenter;PIEZO
Cyxone;Sverige;First North;Hälsovård;Biotech;CYXO
Oscar Properties Pref B;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;OP PREFB
Loudspring;Sverige;First North;Finans & Fastighet;Investmentbolag;LOUDS
Enorama Pharma;Sverige;First North;Hälsovård;Läkemedel;ERMA
Pantaluren;Sverige;NGM;Sällanköpsvaror;Hemelektronik;PANT MTF
The Marketing Group;Sverige;First North;Sällanköpsvaror;Marknadsföring;TMG
GomSpace;Sverige;First North;Informationsteknik;Rymd- & Satellitteknik;GOMX
Redwood Pharma;Sverige;Spotlight;Hälsovård;Läkemedel;REDW
Shortcut Media;Sverige;Spotlight;Sällanköpsvaror;Marknadsföring;SMG
Absolicon;Sverige;Spotlight;Kraftförsörjning;Solkraft;ABSL
Cereno Scientific;Sverige;Spotlight;Hälsovård;Läkemedel;CRNO B
Privanet;Finland;First North;Finans & Fastighet;Kredit & Finansiering;PRIVA
Pareto Bank;Norge;OB Match;Finans & Fastighet;Nischbanker;PARB
Treasure;Norge;OB Match;Finans & Fastighet;Kapitalförvaltning;TRE
Norwegian Finans;Norge;OB Match;Finans & Fastighet;Nischbanker;NOFI
Avidly;Finland;First North;Sällanköpsvaror;Marknadsföring;AVIDLY
B2Holding;Norge;OB Match;Finans & Fastighet;Kredit & Finansiering;B2H
Aega;Norge;Oslo Axess;Kraftförsörjning;Solkraft;AEGA
Scandinavian Tobacco;Danmark;Large Cap;Dagligvaror;Tobak;STG
MaxFast Properties;Sverige;First North;Finans & Fastighet;Fastighetsbolag;MAXF
Quartiers Properties Pref;Sverige;First North;Finans & Fastighet;Fastighetsbolag;QUART PREF
Gold Town Games;Sverige;NGM;Sällanköpsvaror;Gaming & Spel;GTG MTF
Targovax;Norge;OB Match;Hälsovård;Biotech;TRVX
Uni-Light LED;Sverige;NGM;Industri;Elektroniska komponenter;ULED MTF
Maha Energy;Sverige;First North;Energi;Olja & Gas - Service;MAHA A
ExpreS2ion Biotech;Sverige;First North;Hälsovård;Biotech;EXPRS2
PEN Concept;Sverige;Spotlight;Industri;Bygginredning;PENCON
Flowscape;Sverige;Spotlight;Informationsteknik;Säkerhet & Bevakning;FLOWS
Alcadon Group;Sverige;First North;Industri;Elektroniska komponenter;ALCA
Engelska Skolan;Sverige;Mid Cap;Industri;Utbildning;ENG
Eyeonid;Sverige;NGM;Informationsteknik;Biometri;EOID MTF
Filo Mining;Sverige;First North;Material;Gruv - Prospekt & Drift;FIL
Sustainable Energy;Sverige;NGM;Industri;Installation & VVS;SUST MTF
Three Gates;Sverige;NGM;Sällanköpsvaror;Gaming & Spel;GATE MTF
WilLak;Sverige;NGM;Industri;Byggmaterial;WIL MTF
Cyber Security 1;Sverige;First North;Informationsteknik;Säkerhet & Bevakning;CYB1
Mälaråsen;Sverige;Spotlight;Finans & Fastighet;Fastighetsbolag;MALAR
Solnaberg;Sverige;First North;Finans & Fastighet;Fastighetsbolag;SOLNA
FRISQ;Sverige;First North;Informationsteknik;Affärs- & IT-System;FRISQ
Ahlsell;Sverige;Large Cap;Industri;Installation & VVS;AHSL
Vincit;Finland;First North;Informationsteknik;Affärs- & IT-System;VINCIT
Gasporox;Sverige;First North;Industri;Mätning & Analys;GPX
Tobin Properties;Sverige;First North;Finans & Fastighet;Fastighetsbolag;TOBIN
THQ Nordic;Sverige;First North;Sällanköpsvaror;Gaming & Spel;THQN B
ZetaDisplay Pref;Sverige;First North;Sällanköpsvaror;Marknadsföring;ZETA PREF
Cellink;Sverige;First North;Hälsovård;Medicinsk Utrustning;CLNK B
Serneke;Sverige;Mid Cap;Industri;Byggnation & Infrastruktur;SRNKE B
Volati;Sverige;Mid Cap;Finans & Fastighet;Investmentbolag;VOLO
Byggpartner;Sverige;First North;Industri;Byggnation & Infrastruktur;BYGGP
Edgeware;Sverige;Small Cap;Informationsteknik;Kommunikation;EDGE
Arcus;Norge;OB Match;Dagligvaror;Bryggeri;ARCUS
Crunchfish;Sverige;First North;Informationsteknik;Biometri;CFISH
Gapwaves;Sverige;First North;Informationsteknik;Kommunikation;GAPW B
InDex Pharmaceuticals;Sverige;First North;Hälsovård;Läkemedel;INDEX
Alligator Bioscience;Sverige;Mid Cap;Hälsovård;Biotech;ATORX
Ripasso Energy;Sverige;NGM;Kraftförsörjning;Solkraft;RISE MTF
DNA;Finland;Large Cap;Telekommunikation;Bredband & Telefoni;DNA
AdderaCare;Sverige;First North;Hälsovård;Hälsovård & Hjälpmedel;ADDERA
ChemoTech;Sverige;First North;Hälsovård;Medicinsk Utrustning;CMOTEC B
Smart Eye;Sverige;First North;Informationsteknik;Biometri;SEYE
Heeros;Finland;First North;Informationsteknik;IT-Konsulter;HEEROS
Finepart;Sverige;Spotlight;Industri;Industrimaskiner;FINE
Transiro;Sverige;NGM;Informationsteknik;Affärs- & IT-System;TIRO MTF
Nickel Mountain;Sverige;NGM;Material;Gruv - Prospekt & Drift;NICK MTF
Aino Health;Sverige;First North;Industri;Stödtjänster & Service;AINO
AppSpotr;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System;APTR
Acarix;Sverige;First North;Hälsovård;Medicinsk Utrustning;ACARIX
ÅAC Microtec;Sverige;First North;Informationsteknik;Rymd- & Satellitteknik;AAC
SeaTwirl;Sverige;First North;Kraftförsörjning;Vindkraft;STW
Svenska Aerogel;Sverige;First North;Material;Kemikalier;AERO
Curando Nordic;Sverige;First North;Hälsovård;Hälsovård & Hjälpmedel;CUR
AcouSort;Sverige;Spotlight;Hälsovård;Biotech;ACOU
MultiDocker;Sverige;NGM;Industri;Industrimaskiner;MULT MTF
Effnetplattformen Dividend;Sverige;First North;Informationsteknik;Kommunikation;EFFP
Spiltan;Sverige;Pepins Market;Finans & Fastighet;Investmentbolag;SPILTAN
Oncopeptides;Sverige;Mid Cap;Hälsovård;Biotech;ONCO
Hemcheck Sweden;Sverige;First North;Hälsovård;Medicinsk Utrustning;HEMC
Hoylu;Sverige;First North;Informationsteknik;Affärs- & IT-System;HOYLU
IRLAB Therapeutics;Sverige;First North;Hälsovård;Läkemedel;IRLAB A
Aerowash;Sverige;Spotlight;Industri;Stödtjänster & Service;AERW B
Initiator Pharma;Sverige;Spotlight;Hälsovård;Biotech;INIT
MenuCard;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System;MENU B
Chordate Medical;Sverige;NGM;Hälsovård;Medicinsk Utrustning;CMH MTF
Samtrygg;Sverige;NGM;Sällanköpsvaror;Konsumentservice;SAMT MTF B
SARSYS-ASFT;Sverige;NGM;Industri;Mätning & Analys;SARS MTF
Spintso International;Sverige;NGM;Sällanköpsvaror;Fritid & Sport;SPIN MTF
Svenska Bostadsfonden 14A;Sverige;NGM;Finans & Fastighet;Fastighet - REIT;SB14 A
Ambea;Sverige;Mid Cap;Hälsovård;Sjukhus & Vårdhem;AMBEA
Acosense;Sverige;Spotlight;Industri;Mätning & Analys;ACOS
Mips;Sverige;Mid Cap;Sällanköpsvaror;Fritid & Sport;MIPS
ChromoGenics;Sverige;First North;Industri;Byggmaterial;CHRO
Xavitech;Sverige;NGM;Industri;Elektroniska komponenter;XAVI MTF B
Prolight Diagnostics;Sverige;NGM;Hälsovård;Biotech;PRLD MTF
FM Mattsson;Sverige;Small Cap;Industri;Installation & VVS;FMM B
Actic Group;Sverige;Small Cap;Sällanköpsvaror;Resor & Nöjen;ATIC
SSM Holding;Sverige;Small Cap;Finans & Fastighet;Fastighetsbolag;SSM
Next Games;Finland;First North;Sällanköpsvaror;Gaming & Spel;NXTGMS
Biovica;Sverige;First North;Hälsovård;Biotech;BIOVIC B
Camanio Care;Sverige;Spotlight;Hälsovård;Hälsovård & Hjälpmedel;CARE
Unibap;Sverige;First North;Informationsteknik;Affärs- & IT-System;UNIBAP
EatGood;Sverige;Spotlight;Industri;Industrimaskiner;EATG
Sonetel;Sverige;First North;Informationsteknik;Kommunikation;SONE
Isofol Medical;Sverige;First North;Hälsovård;Läkemedel;ISOFOL
Tangiamo Touch;Sverige;First North;Informationsteknik;Datorer & Hårdvara;TANGI
Intervacc;Sverige;First North;Hälsovård;Biotech;IVACC
Instalco;Sverige;Mid Cap;Industri;Installation & VVS;INSTAL
Sdiptech;Sverige;First North;Industri;Installation & VVS;SDIP B
Munters;Sverige;Large Cap;Industri;Installation & VVS;MTRS
CloudRepublic;Sverige;NGM;Informationsteknik;IT-Konsulter;CLDR MTF B
SECITS Holding;Sverige;First North;Informationsteknik;Säkerhet & Bevakning;SECI
Rentunder;Sverige;NGM;Industri;Industrimaskiner;RENT MTF
International Petroleum;Sverige;Mid Cap;Energi;Olja & Gas - Exploatering;IPCO
Matra Petroleum;Sverige;First North;Energi;Olja & Gas - Exploatering;MATRA
Mantex;Sverige;First North;Industri;Mätning & Analys;MANTEX
Annexin;Sverige;First North;Hälsovård;Biotech;ANNX
Logistea;Sverige;First North;Finans & Fastighet;Fastighetsbolag;LOG
