Bolagsnamn;Land;Lista;Sektor;Bransch;Ticker
Bråviken Logistik;Sverige;Spotlight;Finans & Fastighet;Fastighetsbolag;BRALOG
Bambuser;Sverige;First North;Informationsteknik;Internettjänster;BUSER
AcuCort;Sverige;Spotlight;Hälsovård;Läkemedel;ACUC
XMReality;Sverige;First North;Informationsteknik;Affärs- & IT-System;XMR
Compare-IT;Sverige;Spotlight;Informationsteknik;Säkerhet & Bevakning;COMPIT
Karlbergsvägen 77 Pref;Sverige;First North;Finans & Fastighet;Fastighetsbolag;KV77 PREF
Integrum;Sverige;First North;Hälsovård;Medicinsk Utrustning;INTEG B
ISR Holding;Sverige;First North;Hälsovård;Biotech;ISR
Bioservo Technologies;Sverige;First North;Hälsovård;Hälsovård & Hjälpmedel;BIOS
MobiPlus;Sverige;Spotlight;Telekommunikation;Telekomtjänster;MPLUS
Medicover;Sverige;Mid Cap;Hälsovård;Sjukhus & Vårdhem;MCOV B
Abelco Investment;Sverige;NGM;Finans & Fastighet;Investmentbolag;ABIG MTF
TerraNet;Sverige;First North;Telekommunikation;Telekomtjänster;TERRNT B
Boozt;Sverige;Mid Cap;Sällanköpsvaror;Kläder & Skor;BOOZT
Net Trading Group;Sverige;NGM;Dagligvaror;Livsmedel;NTGR MTF
Zaplox;Sverige;First North;Informationsteknik;Affärs- & IT-System;ZAPLOX
TCECUR;Sverige;First North;Informationsteknik;Biometri;TCC
Ayima;Sverige;First North;Sällanköpsvaror;Marknadsföring;AYIMA B
Nexar Group;Sverige;NGM;Sällanköpsvaror;Media & Publicering;NXAR MTF
Paxman;Sverige;First North;Hälsovård;Medicinsk Utrustning;PAX
Essity B;Sverige;Large Cap;Dagligvaror;Hygienprodukter;ESSITY B
Enersize;Sverige;First North;Informationsteknik;Affärs- & IT-System;ENERS
Preservia Pref;Sverige;NGM;Finans & Fastighet;Fastighetsbolag;PHYR MTF PREF
Aspire Global;Sverige;First North;Sällanköpsvaror;Betting & Casino;ASPIRE
Bonesupport;Sverige;Small Cap;Hälsovård;Biotech;BONEX
Cimco Marine;Sverige;First North;Sällanköpsvaror;Bil & Motor;CIMCO
iApotek;Sverige;Spotlight;Dagligvaror;Apotek;IAPO
Momentum Group;Sverige;Mid Cap;Industri;Industrikomponenter;MMGR B
Peckas Naturodlingar;Sverige;NGM;Dagligvaror;Jordbruk;PEKA MTF B
Nitro Games;Sverige;First North;Sällanköpsvaror;Gaming & Spel;NITRO
Urb-it;Sverige;First North;Sällanköpsvaror;Konsumentservice;URBIT
OmniCar;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System;OMNI
Netmore;Sverige;First North;Telekommunikation;Telekomtjänster;NETM B
NextCell Pharma;Sverige;Spotlight;Hälsovård;Biotech;NXTCL
Panion Animal Health;Sverige;Spotlight;Hälsovård;Biotech;PANION
Promore Pharma;Sverige;First North;Hälsovård;Biotech;PROMO
Realfiction;Sverige;First North;Sällanköpsvaror;Marknadsföring;REALFI
Sedana Medical;Sverige;First North;Hälsovård;Medicinsk Utrustning;SEDANA
Sensec Holding;Sverige;NGM;Informationsteknik;Säkerhet & Bevakning;SECS MTF
Surgical Science;Sverige;First North;Hälsovård;Medicinsk Utrustning;SUS
Trianon;Sverige;First North;Finans & Fastighet;Fastighetsbolag;TRIAN B
News55;Sverige;NGM;Sällanköpsvaror;Media & Publicering;N55 MTF
Seamless Distribution Systems;Sverige;First North;Informationsteknik;Betalning & E-handel;SDS
Rovio;Finland;Mid Cap;Sällanköpsvaror;Gaming & Spel;ROVIO
Infront;Norge;OB Standard;Industri;Mätning & Analys;INFRNT
Balco Group;Sverige;Small Cap;Industri;Byggmaterial;BALCO
Enrad;Sverige;Spotlight;Industri;Installation & VVS;ENRAD
Quartiers Properties;Sverige;First North;Finans & Fastighet;Fastighetsbolag;QUART
Obducat Pref;Sverige;NGM;Informationsteknik;Elektronik & Tillverkning;OBDU PREF B
Inhalation Sciences;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;ISAB
SenzaGen;Sverige;First North;Hälsovård;Biotech;SENZA
Xspray Pharma;Sverige;First North;Hälsovård;Biotech;XSPRAY
Silmäasema;Finland;Small Cap;Sällanköpsvaror;Accessoarer;SILMA
Fondia;Finland;First North;Industri;Affärskonsulter;FONDIA
Kamux;Finland;Mid Cap;Sällanköpsvaror;Bil & Motor;KAMUX
Remedy Entertainment;Finland;First North;Sällanköpsvaror;Gaming & Spel;REMEDY
GreenMobility;Danmark;First North;Sällanköpsvaror;Konsumentservice;GREENM
Conferize;Danmark;First North;Informationsteknik;Internettjänster;CONFRZ
Borr Drilling;Norge;OB Match;Energi;Olja & Gas - Borrning;BDRILL
BerGenBio;Norge;OB Match;Hälsovård;Biotech;BGBIO
EVRY;Norge;OB Match;Informationsteknik;Affärs- & IT-System;EVRY
Fjord1;Norge;OB Match;Industri;Sjöfart & Rederi;FJORD
Songa Bulk;Norge;Oslo Axess;Industri;Sjöfart & Rederi;SBULK
BioArctic;Sverige;Mid Cap;Hälsovård;Biotech;BIOA B
Fram Skandinavien;Sverige;First North;Informationsteknik;Affärs- & IT-System;FRAM B
Handicare;Sverige;Mid Cap;Hälsovård;Hälsovård & Hjälpmedel;HANDI
Nilfisk;Danmark;Large Cap;Industri;Industrimaskiner;NLFSK
Climeon;Sverige;First North;Industri;Energi & Återvinning;CLIME B
Qiiwi Interactive;Sverige;Spotlight;Sällanköpsvaror;Gaming & Spel;QIIWI
Global Gaming 555;Sverige;First North;Sällanköpsvaror;Betting & Casino;GLOBAL
Samhällsbyggnads Pref;Sverige;First North;Finans & Fastighet;Fastighetsbolag;SBB PREF
Ferronordic Machines;Sverige;Mid Cap;Industri;Industrikomponenter;FNM
Bublar;Sverige;NGM;Sällanköpsvaror;Gaming & Spel;BUBL MTF
Touchtech;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System; TOUCH
Indentive;Sverige;First North;Informationsteknik;Affärs- & IT-System;INDEN B
2cureX;Sverige;First North;Hälsovård;Medicinsk Utrustning;2CUREX
Time People Group;Sverige;NGM;Informationsteknik;IT-Konsulter;TPGR MTF
Seafire;Sverige;NGM;Finans & Fastighet;Investmentbolag;SEA MTF
BIBBIntrument;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;BIBB
Flexqube;Sverige;First North;Industri;Industrikomponenter;FLEXQ
Awardit;Sverige;First North;Sällanköpsvaror;Marknadsföring;AWRD
Atvexa;Sverige;First North;Industri;Utbildning;ATVEXA B
Komplett Bank;Norge;OB Match;Finans & Fastighet;Kredit & Finansiering;KOMP
ESEN eSports;Sverige;Spotlight;Sällanköpsvaror;Gaming & Spel;ESEN
IRRAS;Sverige;First North;Hälsovård;Medicinsk Utrustning;IRRAS
Logistri;Sverige;Spotlight;Finans & Fastighet;Fastighetsbolag;LOGIST
Tre Kronor Property;Sverige;First North;Finans & Fastighet;Fastighetsbolag;3KR
Tempest Security;Sverige;First North;Industri;Säkerhet;TSEC
DevPort;Sverige;First North;Informationsteknik;IT-Konsulter;DEVP B
MAG Interactive;Sverige;First North;Sällanköpsvaror;Gaming & Spel;MAGI
Terveystalo;Finland;Large Cap;Hälsovård;Hälsovård & Hjälpmedel;TTALO
Efecte;Finland;First North;Informationsteknik;Affärs- & IT-System;EFECTE
Gofore;Finland;First North;Informationsteknik;IT-Konsulter;GOFORE
Titanium;Finland;First North;Finans & Fastighet;Kapitalförvaltning;TITAN
Scout Gaming;Sverige;First North;Sällanköpsvaror;Betting & Casino;SCOUT
Acconeer;Sverige;First North;Industri;Mätning & Analys;ACCON
Lyko;Sverige;First North;Dagligvaror;Hygienprodukter;LYKO A
Arjo;Sverige;Large Cap;Hälsovård;Hälsovård & Hjälpmedel;ARJO B
Colabitoil;Sverige;Spotlight;Kraftförsörjning;Bioenergi;COLAB
Toadman;Sverige;NGM;Sällanköpsvaror;Gaming & Spel;TOAD MTF
Bio-Works;Sverige;First North;Hälsovård;Läkemedel;BIOWKS
TopRight Nordic;Sverige;NGM;Industri;Elektroniska komponenter;TOPR MTF
24SevenOffice;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System;247
Crayon Group;Norge;OB Match;Informationsteknik;IT-Konsulter;CRAYON
Self Storage;Norge;OB Standard;Sällanköpsvaror;Konsumentservice;SSG
Webstep;Norge;OB Standard;Informationsteknik;IT-Konsulter;WSTEP
Orphazyme;Danmark;Mid Cap;Hälsovård;Biotech;ORPHA
TCM Group;Danmark;Small Cap;Sällanköpsvaror;Möbler & Inredning;TCM
Copenhagen Capital Praef;Danmark;Small Cap;Finans & Fastighet;Fastighet - REIT;CPHCAP PREF
Cleantech Building;Danmark;First North;Industri;Byggmaterial;CBM
Gate Ventures;Danmark;First North;Sällanköpsvaror;Media & Publicering;GATE
Monobank;Norge;Merkur Market;Finans & Fastighet;Banker;MONO-ME
Epic Gas;Norge;Merkur Market;Energi;Olja & Gas - Transport;EPIC-ME
Gentian Diagnostics;Norge;Merkur Market;Hälsovård;Medicinsk Utrustning;GENT-ME
Kolibri Kapital;Norge;Merkur Market;Finans & Fastighet;Kredit & Finansiering;KOLKAP-ME
Grong Sparebank;Norge;Merkur Market;Finans & Fastighet;Banker;GRONG-ME
MPC Container Ships;Norge;OB Match;Industri;Sjöfart & Rederi;MPCC
Northern Drilling;Norge;OB Match;Energi;Olja & Gas - Borrning;NODL
Lillestrom Sparebank;Norge;Merkur Market;Finans & Fastighet;Banker;LSTSB-ME
Tysnes Sparebank;Norge;Merkur Market;Finans & Fastighet;Banker;TYSB-ME
Baltic Sea Properties;Norge;Merkur Market;Finans & Fastighet;Fastighetsbolag;BALT-ME
J.P. Kenny Petroleum;Norge;Merkur Market;Energi;Olja & Gas - Exploatering;JPK-ME
CGit;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System;CGIT B
H&D Wireless;Sverige;First North;Informationsteknik;Kommunikation;HDW B
ObsteCare;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;OBST
Orgo Tech;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System;ORGO
ADDvise Group B;Sverige;First North;Hälsovård;Hälsovård & Hjälpmedel;ADDV B
Arbona A;Sverige;NGM;Finans & Fastighet;Investmentbolag;ARBO MTF A
Atlas Copco B;Sverige;Large Cap;Industri;Industrimaskiner;ATCO B
Bonava A;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;BONAV A
Catella A;Sverige;Mid Cap;Finans & Fastighet;Kapitalförvaltning;CAT A
Corem B;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;CORE B
Electrolux A;Sverige;Large Cap;Sällanköpsvaror;Hemelektronik;ELUX A
Ericsson A;Sverige;Large Cap;Informationsteknik;Kommunikation;ERIC A
Essity A;Sverige;Large Cap;Dagligvaror;Hygienprodukter;ESSITY A
Handelsbanken B;Sverige;Large Cap;Finans & Fastighet;Banker;SHB B
Holmen A;Sverige;Large Cap;Material;Skogsbolag;HOLM A
Hufvudstaden C;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;HUFV C
Husqvarna A;Sverige;Large Cap;Sällanköpsvaror;Hemelektronik;HUSQ A
Industrivärden A;Sverige;Large Cap;Finans & Fastighet;Investmentbolag;INDU A
Investor A;Sverige;Large Cap;Finans & Fastighet;Investmentbolag;INVE A
Kinnevik A;Sverige;Large Cap;Finans & Fastighet;Investmentbolag;KINV A
Klövern B;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;KLOV B
Midsona A;Sverige;Mid Cap;Dagligvaror;Hälsoprodukter;MSON A
Midway A;Sverige;Small Cap;Finans & Fastighet;Investmentbolag;MIDW A
MTG A;Sverige;Large Cap;Sällanköpsvaror;Media & Publicering;MTG A
NCC A;Sverige;Large Cap;Industri;Byggnation & Infrastruktur;NCC A
Ortivus A;Sverige;Small Cap;Hälsovård;Hälsovård & Hjälpmedel;ORTI A
Ratos A;Sverige;Large Cap;Finans & Fastighet;Investmentbolag;RATO A
Sagax B;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;SAGA B
Sagax D;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;SAGA D
SCA A;Sverige;Large Cap;Material;Skogsbolag;SCA A
SEB C;Sverige;Large Cap;Finans & Fastighet;Banker;SEB C
SKF A;Sverige;Large Cap;Industri;Industrikomponenter;SKF A
Slottsviken A;Sverige;Spotlight;Finans & Fastighet;Fastighetsbolag;SLOTT A
SSAB B;Sverige;Large Cap;Material;Gruv - Industrimetaller;SSAB B
Starbreeze A;Sverige;Mid Cap;Sällanköpsvaror;Gaming & Spel;STAR A
Stora Enso A;Sverige;Large Cap;Material;Skogsbolag;STE A
Svolder A;Sverige;Mid Cap;Finans & Fastighet;Investmentbolag;SVOL A
Sweco A;Sverige;Large Cap;Industri;Affärskonsulter;SWEC A
Tele2 A;Sverige;Large Cap;Telekommunikation;Bredband & Telefoni;TEL2 A
Transferator B;Sverige;Spotlight;Finans & Fastighet;Investmentbolag;TRAN B
Victoria Park B;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;VICP B
Volvo A;Sverige;Large Cap;Industri;Industrimaskiner;VOLV A
Ilkka-Yhtymä 1;Finland;Prelist;Sällanköpsvaror;Media & Publicering;ILK1S
Kesko A;Finland;Large Cap;Dagligvaror;Livsmedelsbutiker;KESKOA
Metsä Board A;Finland;Large Cap;Material;Skogsbolag;METSA
Oriola A;Finland;Mid Cap;Dagligvaror;Apotek;OKDAV
Orion A;Finland;Large Cap;Hälsovård;Läkemedel;ORNAV
SSAB A Oyj;Finland;Large Cap;Material;Gruv - Industrimetaller;SSABAH
Stockmann A;Finland;Mid Cap;Sällanköpsvaror;Detaljhandel;STCAS
Stora Enso A Oyj;Finland;Large Cap;Material;Skogsbolag;STEAV
Ålandsbanken A;Finland;Mid Cap;Finans & Fastighet;Banker;ALBAV
Odfjell A;Norge;OB Match;Industri;Sjöfart & Rederi;ODF
Schibsted B;Norge;OB Match;Sällanköpsvaror;Media & Publicering;SCHB
Wilh. Wilhelmsen A;Norge;OB Match;Industri;Sjöfart & Rederi;WWI
A.P. Moller Maersk A;Danmark;Large Cap;Industri;Sjöfart & Rederi;MAERSK A
Carlsberg A;Danmark;Large Cap;Dagligvaror;Bryggeri;CARL A
Gyldendal A;Danmark;Small Cap;Sällanköpsvaror;Media & Publicering;GYLD A
Hojgaard A;Danmark;Small Cap;Industri;Byggnation & Infrastruktur;HOEJ A
Rockwool A;Danmark;Large Cap;Industri;Byggmaterial;ROCK A
Infracom;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System;INFRA
NPinvestor.com;Danmark;First North;Industri;Mätning & Analys;NPINV
Leading Edge Materials;Sverige;First North;Material;Kemikalier;LEMSE
Västsvensk Logistik;Sverige;Spotlight;Finans & Fastighet;Fastighetsbolag;VASLOG
Veteranpoolen;Sverige;Spotlight;Industri;Bemanning;VPAB B
Dr Sannas;Sverige;NGM;Dagligvaror;Hälsoprodukter;SANNA MTF B
Salmones Camanchaca;Norge;OB Match;Dagligvaror;Fiskodling;SALMON
GoldBlue;Sverige;NGM;Sällanköpsvaror;Gaming & Spel;GOLDB MTF
Liv ihop;Sverige;First North;Hälsovård;Sjukhus & Vårdhem;LIVI
OptiMobile;Sverige;Spotlight;Informationsteknik;Kommunikation;OPT
Smoltek;Sverige;Spotlight;Informationsteknik;Elektronik & Tillverkning;SMOL
BBS-Bioactive Bone;Sverige;First North;Hälsovård;Medicinsk Utrustning;BONES
BBS-Bioactive Bone FI;Finland;First North;Hälsovård;Medicinsk Utrustning;BONEH
Admicom;Finland;First North;Informationsteknik;Affärs- & IT-System;ADMCM
HRC World;Danmark;First North;Sällanköpsvaror;Restaurang & Café;HRC
Attana;Sverige;NGM;Hälsovård;Biotech;ATANA MTF
Cibus Nordic;Sverige;First North;Finans & Fastighet;Fastighetsbolag;CIBUS
Bygghemma;Sverige;Mid Cap;Sällanköpsvaror;Detaljhandel;BHG
Green Landscaping;Sverige;First North;Industri;Stödtjänster & Service;GREEN
Zutec;Sverige;First North;Informationsteknik;Affärs- & IT-System;ZUTEC
Altia;Finland;Mid Cap;Dagligvaror;Bryggeri;ALTIA
Harvia;Finland;Small Cap;Sällanköpsvaror;Möbler & Inredning;HARVIA
Elkem;Norge;OB Match;Material;Kemikalier;ELK
Fjordkraft;Norge;OB Match;Kraftförsörjning;Elförsörjning;FKRAFT
River iGaming;Norge;Merkur Market;Sällanköpsvaror;Betting & Casino;RIVER-ME
Sunndal Sparebank;Norge;Merkur Market;Finans & Fastighet;Banker;SUNSB-ME
Agillic;Danmark;First North;Informationsteknik;Affärs- & IT-System;AGILC
Bodyflight;Sverige;Spotlight;Sällanköpsvaror;Resor & Nöjen;BODY
Iconovo;Sverige;First North;Hälsovård;Medicinsk Utrustning;ICO
Fluicell;Sverige;First North;Hälsovård;Biotech;FLUI
Infrea;Sverige;First North;Industri;Byggnation & Infrastruktur;INFREA
NP3 Pref;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;NP3 PREF
Tectona Capital;Sverige;NGM;Finans & Fastighet;Fastighetsbolag;TCAB MTF B
Better Collective;Sverige;Mid Cap;Sällanköpsvaror;Betting & Casino;BETCO
NCAB Group;Sverige;Small Cap;Informationsteknik;Elektronik & Tillverkning;NCAB
I-Tech;Sverige;First North;Material;Kemikalier;ITECH
Ovzon;Sverige;First North;Telekommunikation;Telekomtjänster;OVZON
JonDeTech Sensors;Sverige;First North;Industri;Mätning & Analys;JDT
Africa Energy;Sverige;First North;Energi;Olja & Gas - Exploatering;AEC
Africa Resources;Sverige;NGM;Material;Gruv - Ädelstenar;AFRI MTF
Netcompany Group;Danmark;Large Cap;Informationsteknik;Affärs- & IT-System;NETC
Enersense;Finland;First North;Industri;Bemanning;ESENSE
Happy Helper;Danmark;First North;Sällanköpsvaror;Konsumentservice;HAPPY
Atlantic Sapphire;Norge;Merkur Market;Dagligvaror;Fiskodling;ASA-ME
Golden Energy Offshore;Norge;Merkur Market;Energi;Olja & Gas - Transport;GEOS-ME
SoftOx Solutions;Norge;Merkur Market;Hälsovård;Läkemedel;SOFTOX-ME
Surnadal Sparebank;Norge;Merkur Market;Finans & Fastighet;Banker;SUSB-ME
TargetEveryOne No;Norge;Merkur Market;Sällanköpsvaror;Marknadsföring;TEONE-ME
Arion Banki;Sverige;Large Cap;Finans & Fastighet;Banker;ARION-SDB
Epiroc A;Sverige;Large Cap;Industri;Industrimaskiner;EPI A
Epiroc B;Sverige;Large Cap;Industri;Industrimaskiner;EPI B
Flexion Mobile;Sverige;First North;Sällanköpsvaror;Gaming & Spel;FLEXM
IA Industriarmatur;Sverige;Spotlight;Industri;Installation & VVS;IAG
Kojamo;Finland;Large Cap;Finans & Fastighet;Fastighetsbolag;KOJAMO
Freetrailer;Danmark;Spotlight;Sällanköpsvaror;Bil & Motor;FREETR
Projektengagemang;Sverige;Small Cap;Industri;Affärskonsulter;PENG B
Calliditas Therapeutics;Sverige;Mid Cap;Hälsovård;Läkemedel;CALTX
Dicot;Sverige;Spotlight;Hälsovård;Läkemedel;DICOT
Midsummer;Sverige;First North;Kraftförsörjning;Solkraft;MIDS
Raketech;Sverige;First North;Sällanköpsvaror;Betting & Casino;RAKE
Ranplan;Sverige;First North;Informationsteknik;Kommunikation;RPLAN
VMP;Finland;First North;Industri;Bemanning;VMP
ViroGates;Danmark;First North;Hälsovård;Medicinsk Utrustning;VIRO
Lavo.tv;Norge;Merkur Market;Sällanköpsvaror;Media & Publicering;LAVO-ME
Shelf Drilling;Norge;OB Match;Energi;Olja & Gas - Borrning;SHLF
Veoneer;Sverige;Large Cap;Sällanköpsvaror;Bil & Motor;VNE SDB
Calmark;Sverige;Spotlight;Hälsovård;Läkemedel;CALMA B
Odico;Danmark;First North;Industri;Industrimaskiner;ODICO
Lifecare;Norge;Merkur Market;Hälsovård;Medicinsk Utrustning;LIFE-ME
Okeanis Eco Tankers;Norge;Merkur Market;Industri;Sjöfart & Rederi;OET-ME
Star Bulk Carriers Corp;Norge;OB Match;Industri;Sjöfart & Rederi;SBLK R
Alvestaglass;Sverige;Pepins Market;Dagligvaror;Livsmedel;ALVEGL
Risk Intelligence;Danmark;Spotlight;Industri;Sjöfart & Rederi;RISK
ADS Crude Carriers;Norge;Merkur Market;Industri;Sjöfart & Rederi;ADSC-ME
BRAbank;Norge;Merkur Market;Finans & Fastighet;Banker;BRA-ME
Hypefactors;Danmark;First North;Informationsteknik;Affärs- & IT-System;HYPE
Asarina Pharma;Sverige;First North;Hälsovård;Läkemedel;ASAP
Lumito;Sverige;NGM;Hälsovård;Medicinsk Utrustning;LUMITO MTF
Metacon;Sverige;NGM;Kraftförsörjning;Bioenergi;META MTF
Nordic Iron Ore;Sverige;First North;Material;Gruv - Prospekt & Drift;NIO
Ziccum;Sverige;Spotlight;Hälsovård;Läkemedel;ZICC
Fellow Finance;Finland;First North;Finans & Fastighet;Kredit & Finansiering;FELLOW
Stenocare;Danmark;Spotlight;Hälsovård;Läkemedel;STENO
poLight;Norge;OB Standard;Informationsteknik;Biometri;PLT
Zordix;Sverige;NGM;Sällanköpsvaror;Gaming & Spel;ZORDIX MTF
Comintelli;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System;COMINT
Nyfosa;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;NYF
Adverty;Sverige;NGM;Sällanköpsvaror;Marknadsföring;ADVT MTF
AlzeCure Pharma;Sverige;First North;Hälsovård;Läkemedel;ALZCUR
Aros Bostadsutveckling Pref;Sverige;First North;Finans & Fastighet;Fastighetsbolag;AROS PREF
Axolot Solutions;Sverige;First North;Industri;Energi & Återvinning;AXOLOT
Hoodin;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System;HOODIN
Jetty;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System;JETTY
PolarCool;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;POLAR
S2Medical;Sverige;First North;Hälsovård;Läkemedel;S2M
Scandion Oncology;Sverige;Spotlight;Hälsovård;Biotech;SCOL
Nordic ID;Finland;First North;Industri;Mätning & Analys;NORDID
Oma Säästöpankki;Finland;Mid Cap;Finans & Fastighet;Banker;OMASP
Rush Factory;Finland;First North;Sällanköpsvaror;Resor & Nöjen;RUSH
Viafin Service;Finland;First North;Finans & Fastighet;Investmentbolag;VIAFIN
Den Jyske Sparekasse;Danmark;Small Cap;Finans & Fastighet;Banker;DJS
Scape Technologies;Danmark;First North;Industri;Industrimaskiner;SCAPE
Seluxit;Danmark;First North;Informationsteknik;Affärs- & IT-System;SLXIT
Zenith Energy Ltd;Norge;Merkur Market;Energi;Olja & Gas - Exploatering;ZENA-ME
Tallink Grupp;Finland;Mid Cap;Industri;Sjöfart & Rederi;TALLINK
Azelio;Sverige;First North;Kraftförsörjning;Solkraft;AZELIO
Beyond Frames;Sverige;Spotlight;Sällanköpsvaror;Gaming & Spel;BEYOND
Jetpak;Sverige;First North;Industri;Tåg- & Lastbilstransport;JETPAK
Lime Technologies;Sverige;Small Cap;Informationsteknik;Affärs- & IT-System;LIME
NeoDynamics;Sverige;Spotlight;Hälsovård;Läkemedel;NEOD
Q-Linea;Sverige;Mid Cap;Hälsovård;Medicinsk Utrustning;QLINEA
CAG Group;Sverige;First North;Informationsteknik;IT-Konsulter;CAG
Footway;Sverige;First North;Sällanköpsvaror;Kläder & Skor;FOOT B
Raytelligence;Sverige;NGM;Hälsovård;Medicinsk Utrustning;RAYTL MTF
Samhällsbyggnadsbolag D;Sverige;First North;Finans & Fastighet;Fastighetsbolag;SBB D
InCoax Networks;Sverige;First North;Telekommunikation;Telekomtjänster;INCOAX
